DateTime,AddedIPs,RemovedIPs
1638850829,8,4
1638851547,4,9
1638852267,5,7
1638852989,1,0
1638853708,6,12
1638854428,4,0
1638855147,4,2
1638855870,4,4
1638856589,4,3
1638857307,2,0
1638858031,0,9
1638858752,4,2
1638859468,1,0
1638860188,3,3
1638861149,8,5
1638861870,1,4
1638862594,4,3
1638863306,6,0
1638864029,3,3
1638864746,5,3
1638865481,0,10
1638866191,3,3
1638866908,2,0
1638867630,2,2
1638868348,1,9
1638869069,4,2
1638869789,1,0
1638870511,6,5
1638871230,5,0
1638871948,3,6
1638872686,1,10
1638873389,1,0
1638874106,4,3
1638874827,1,1
1638875549,2,3
1638876270,1,0
1638876992,3,9
1638877709,3,0
1638878430,3,1
1638879147,3,4
1638879867,3,1
1638880593,5,6
1638881307,1,0
1638882046,5,5
1638882749,5,0
1638883467,4,0
1638884193,0,7
1638884906,1,0
1638885639,2,3
1638886349,1,4
1638887069,3,2
1638887789,1,0
1638888510,6,1
1638889469,6,2
1638890189,8,5
1638890910,1,6
1638891628,3,3
1638892349,4,3
1638893069,5,2
1638893792,3,1
1638894506,3,2
1638895468,9,2
1638896187,3,3
1638896910,4,6
1638897631,8,2
1638898347,1,3
1638899310,3,3
1638900028,5,3
1638900753,7,6
1638901488,3,2
1638902188,4,7
1638902906,4,4
1638903639,1,7
1638904346,1,8
1638905068,4,4
1638905790,2,3
1638906510,3,3
1638907228,3,4
1638907953,4,7
1638908669,1,4
1638909394,1,4
1638910109,5,3
1638910840,4,8
1638911793,3,6
1638912507,9,1
1638913234,5,4
1638913951,6,6
1638914671,1,3
1638915387,5,3
1638916106,1,6
1638916829,6,3
1638917548,3,1
1638918271,6,2
1638918986,3,6
1638919709,5,3
1638920430,0,3
1638921156,3,7
1638922115,3,6
1638922827,3,0
1638923548,1,3
1638924269,5,6
1638924993,3,7
1638925707,5,0
1638926429,3,3
1638927147,1,4
1638927869,5,4
1638928588,3,4
1638929525,6,5
1638930249,16,6
1638930969,4,17
1638931687,9,6
1638932414,7,4
1638933126,6,2
1638933848,5,6
1638934567,4,6
1638935285,5,6
1638936251,8,4
1638936966,3,8
1638937689,6,7
1638938406,3,4
1638939130,4,4
1638939847,3,4
