DateTime,AddedIPs,RemovedIPs
1638746650,26,0
1638747013,7,38
1638748085,28,10
1638749886,43,17
1638750248,15,0
1638751327,35,44
1638752045,25,0
1638754208,82,190
1638755285,36,62
1638756364,0,7268
1638757505,7293,0
1638758527,33,38
1638759246,32,0
1638760326,36,25
1638761409,35,26
1638761765,10,5
1638762486,30,0
1638764286,43,24
1638765011,24,24
1638765729,15,6
1638766447,23,0
1638767525,28,15
1638768609,36,19
1638769747,38,8
1638770765,34,20
1638771846,38,1
1638772926,30,38
1638774125,39,29
1638774727,22,0
1638775867,49,21
1638776166,13,4
1638777965,53,34
1638779045,36,0
1638780246,26,55
1638780486,3,0
1638781625,29,29
1638782769,32,0
1638784447,38,47
1638785167,18,38
1638785886,16,0
1638786608,13,29
1638787325,16,4
1638788046,14,0
1638788765,12,20
1638789485,8,0
1638790208,0,21
1638790926,2,3
1638791646,3,2
1638792785,9,18
1638793925,9,24
1638794525,8,9
1638795725,9,26
1638796686,7,0
1638797046,8,0
1638798848,9,59
1638799568,2,107
1638800286,2,0
1638800652,3,0
1638802447,11,223
1638803584,5,160
1638803886,2,0
1638804967,6,285
1638805685,5,0
1638806046,4,0
1638806766,5,201
1638807486,10,2
1638808208,10,294
1638810365,25,309
1638811087,23,1
1638811806,15,269
1638813245,16,55
1638814385,14,254
1638816125,20,272
1638816845,8,0
1638818648,21,117
1638819010,2,139
1638819728,7,22
1638820085,4,0
1638821166,11,100
1638821886,15,0
1638822967,10,103
1638823686,12,9
1638824047,4,0
1638825126,29,60
1638825846,21,1
1638826567,26,77
1638827286,6,0
1638829086,16,57
1638829809,3,61
1638830946,21,14
1638831245,8,0
1638833051,32,45
1638834129,25,68
1638835325,26,51
1638836287,24,0
1638836646,6,0
1638838446,46,52
1638839166,11,45
1638839525,8,1
1638840665,28,69
1638841325,10,18
1638842046,11,0
1638843126,17,52
1638843846,10,0
1638845645,25,79
1638846365,7,50
1638846726,7,0
1638847445,8,0
1638848167,12,71
1638849967,15,43
1638850328,4,0
1638851051,12,3
1638851769,2,66
1638852486,17,2
1638853219,12,41
1638853926,8,0
1638855726,30,66
1638856446,6,0
1638857525,13,42
1638858244,9,1
1638858965,7,56
1638859327,5,7
1638860045,7,1
1638860767,9,32
1638861485,11,1
1638863285,19,51
1638865086,23,41
1638865810,8,54
1638866165,1,11
1638866886,11,10
1638867246,4,0
1638868687,16,29
1638869767,10,65
1638870907,16,0
1638871567,5,41
1638871927,5,0
1638872646,16,0
1638874445,13,84
1638875166,11,36
1638875888,9,0
1638876608,10,38
1638878046,15,7
1638879846,39,38
1638880922,0,4012
1638881645,4125,0
1638882014,6,45
1638883086,16,0
1638884526,15,45
1638885247,6,0
1638885965,17,36
1638886687,13,0
1638887413,6,50
1638887767,5,4
1638888845,12,2
1638890646,17,36
1638892446,28,52
1638893166,9,33
1638893885,7,2
1638894608,7,55
1638895745,19,17
1638896766,11,19
1638898207,16,32
1638899646,16,41
1638901445,43,40
1638902526,21,50
1638904325,20,31
1638905052,8,1
1638906486,20,36
1638907565,4,44
1638908646,22,0
1638909846,15,74
1638910443,0,3759
1638911585,3737,0
1638912611,8,46
1638912967,8,8
1638913686,3,0
1638914046,3,2
1638914765,10,44
1638915486,12,0
1638916925,26,68
1638917644,17,0
1638919086,20,35
1638919815,11,58
1638920170,9,10
1638921308,19,0
1638922325,12,59
1638922687,7,0
1638923825,21,82
1638924126,7,8
1638925325,28,43
1638926286,15,1
1638927009,16,79
1638927727,15,11
1638928816,13,48
1638929167,10,0
1638930246,6,0
1638931446,12,64
1638931686,3,0
1638933488,13,46
1638934926,8,54
1638935647,2,0
1638937089,14,45
1638938527,13,80
1638939619,9,41
1638940325,7,0
1638941766,4,68
1638942485,13,0
1638943567,9,41
1638944285,3,0
1638945009,5,68
1638945726,7,23
1638946925,20,42
1638948169,7,0
1638949465,0,70
1638950601,0,35
1638953377,0,63
1638954567,0,45
1638955814,0,40
1638956171,14,0
1638957965,47,42
1638958686,7,0
1638959408,6,19
1638960126,13,1
1638961325,9,6
1638962286,12,0
1638962647,6,1
1638963366,2,18
1638964085,6,0
1638964446,1,0
1638966245,20,14
1638967326,14,17
1638968045,2,0
1638968765,3,6
1638969126,2,0
1638970208,10,5
1638970927,10,3
1638972725,21,8
1638973450,5,1
1638974650,7,17
1638976327,7,8
1638977045,4,0
1638977766,5,22
1638978847,18,0
1638979925,10,18
1638980645,11,0
1638981366,5,17
1638982445,11,2
1638983167,16,11
1638983525,9,0
1638984245,0,2832
1638984609,2823,0
1638985746,14,3
1638986766,4,12
1638987485,3,3
1638988209,6,16
1638988925,6,6
1638990366,13,7
1638992171,14,20
1638992527,4,0
1638994326,11,11
1638995046,1,0
1638995767,5,66
1638996486,7,2
1638997926,14,7
1638999066,10,12
1638999366,6,7
1639000445,13,0
1639001165,8,46
1639001886,13,0
1639002966,14,42
1639003326,3,8
1639004525,26,24
1639005486,22,0
1639006571,19,37
1639007286,8,0
1639007645,10,0
1639008366,14,25
1639009086,13,0
1639011245,47,41
1639011966,17,22
1639012685,14,0
1639014485,40,22
1639015924,18,14
1639017066,19,13
1639017726,11,3
1639018445,7,0
1639020246,17,10
1639020609,9,11
1639021325,11,0
1639023126,16,19
1639023847,11,0
1639024929,6,22
1639026015,6,14
1639026725,10,0
1639027445,10,0
1639028164,6,21
1639028525,3,0
1639030326,33,13
1639031044,4,0
1639031766,6,16
1639032966,14,5
1639033925,13,13
1639035726,18,15
1639036446,7,0
