DateTime,AddedIPs,RemovedIPs
1638101888,2,3
1638102608,0,1
1638105487,0,1
1638106927,1,0
1638112687,1,0
1638113409,0,2
1638115927,1,0
1638117066,1,1
1638122418,0,1
1638124928,1,0
1638127089,0,1
1638127816,1,0
1638130687,0,1
1638132129,1,0
1638134648,1,0
1638144366,0,1
1638145447,0,1
1638148328,1,0
1638149767,1,0
1638153728,2,0
1638154447,1,1
1638159489,1,0
1638163147,1,0
1638165966,2,1
1638168846,1,0
1638171010,1,0
1638171369,0,2
1638173528,0,2
1638176768,1,0
1638180368,1,0
1638181088,0,1
1638181811,1,1
1638182527,0,1
1638183249,0,1
1638185767,1,0
1638187567,1,2
1638189728,0,1
1638194108,0,1
1638199086,2,0
1638199810,0,1
1638201247,1,1
1638201967,0,1
1638203048,1,0
1638203767,0,1
1638204487,0,1
1638206287,1,0
1638207787,0,1
1638208446,1,0
1638214928,0,1
1638215647,0,1
1638224648,0,1
1638230766,1,0
1638232211,2,0
1638232928,0,2
1638234728,1,0
1638236887,1,1
1638238687,0,1
1638248047,1,0
1638248768,0,1
1638251288,1,0
1638251648,1,1
1638253813,2,0
1638254167,1,0
1638256326,0,1
1638258548,0,1
1638260288,1,0
1638261012,0,3
1638261727,1,0
1638264252,0,1
1638267487,1,0
1638267848,0,1
1638270729,1,0
1638271450,0,1
1638272169,0,1
1638273249,2,1
1638275048,0,1
1638276846,2,0
1638278646,0,2
1638280448,1,0
1638281890,0,1
1638285488,1,0
1638289087,1,0
1638290946,1,0
1638293410,0,2
1638294486,0,1
1638297009,1,0
1638299167,1,0
1638299888,0,1
1638303488,1,0
1638305647,1,0
1638307812,1,0
1638309967,0,1
1638311767,1,0
1638312847,1,1
1638314287,1,1
1638315427,1,1
1638316447,1,0
1638317526,1,1
1638317887,0,1
1638319028,0,2
1638326631,0,1
1638328689,1,0
1638329412,0,1
1638331567,1,0
1638331928,1,1
1638334446,1,0
1638336247,0,2
1638340209,0,1
1638342019,1,1
1638342727,1,0
1638344887,2,1
1638346687,0,1
1638351016,1,0
1638358929,1,0
1638359649,0,1
1638361812,1,0
1638363246,2,0
1638364327,0,1
1638366127,1,0
1638374047,1,0
1638376211,0,1
1638378786,0,1
1638387014,1,0
1638387369,0,1
1638388567,2,0
1638389887,2,1
1638390248,0,1
1638390968,0,1
1638392420,0,1
1638394212,3,0
1638394930,4,0
1638395648,18,0
1638396366,13,0
1638397447,5,0
1638398528,1,2
1638399726,0,20
1638400688,16,5
1638401053,5,1
1638402487,1,14
1638403567,1,12
1638405368,1,3
1638406086,5,0
1638406448,3,0
1638407935,13,0
1638411848,1,0
1638415449,0,1
1638416168,0,1
1638416888,1,0
1638417968,1,12
1638419044,0,10
1638423726,0,1
1638427328,0,1
1638428048,1,0
1638429488,1,0
1638430210,0,1
1638431767,1,0
1638433447,3,0
1638434168,0,1
1638435966,1,1
1638436327,0,1
1638437466,2,1
1638438128,0,1
1638438847,0,1
1638440647,2,4
1638441367,0,1
1638442087,0,1
1638442448,1,0
1638443166,0,2
1638444611,1,0
1638446416,0,1
1638447128,0,1
1638448211,0,1
1638449646,1,0
1638452887,1,0
1638453248,1,0
1638454688,0,1
1638456127,1,1
1638457928,1,0
1638462610,0,1
1638463687,1,1
1638464049,1,0
1638464767,0,1
1638466568,1,0
1638470528,1,1
1638471726,0,1
1638472688,2,0
1638473769,0,1
1638476647,1,1
1638478084,1,1
1638479888,1,0
1638480969,0,1
1638491047,0,1
1638493567,1,0
1638494288,1,0
1638496447,1,0
1638497889,0,1
1638501847,0,1
1638502212,0,1
1638503766,1,0
1638505087,1,0
1638506169,0,1
1638507247,1,0
1638510666,0,1
1638511807,1,0
1638512287,1,0
1638513728,0,2
1638520628,0,1
1638527046,0,1
1638528128,1,0
1638530288,2,0
1638531010,2,0
1638531367,1,0
1638532088,0,1
1638533227,0,1
1638533886,1,0
1638535328,3,1
1638536432,2,0
1638540128,1,0
1638542528,0,1
1638543247,2,0
1638543967,0,1
1638545768,0,1
1638546487,1,0
1638549011,0,2
1638551527,0,1
1638553327,2,6
1638555487,0,2
1638557286,2,0
1638562687,1,1
1638564126,1,2
1638567729,1,0
1638568448,0,1
1638570610,1,0
1638573487,0,1
1638574567,0,1
1638577088,1,0
1638577447,0,1
1638578529,1,0
1638580327,0,1
1638585728,0,1
1638587167,1,0
1638591851,2,0
1638592568,0,2
1638599047,0,3
1638599768,1,1
1638600129,0,1
1638604447,1,0
1638605886,0,1
1638608767,1,0
1638610569,1,2
1638611647,0,2
1638613810,1,1
1638614166,1,0
1638615487,0,1
1638619566,0,1
1638623166,0,1
1638628568,1,1
1638630369,0,1
1638631087,1,0
1638632166,1,1
1638633247,1,1
1638635410,0,1
1638636489,0,1
1638638287,2,0
1638639011,1,0
1638641167,1,1
1638642967,0,1
1638645126,2,0
1638651248,2,1
1638652388,0,1
