DateTime,AddedIPs,RemovedIPs
1638726844,7,1
1638727924,14,23
1638729364,16,24
1638731166,13,13
1638731884,9,0
1638733024,11,27
1638733326,4,0
1638735485,26,23
1638736563,18,35
1638737644,7,2
1638738365,8,19
1638739085,3,0
1638740166,8,20
1638741244,4,0
1638741616,1,14
1638744606,36,27
1638745565,6,20
1638745926,4,0
1638746649,10,0
1638747012,4,29
1638748084,8,5
1638749885,16,13
1638750246,3,2
1638751326,10,32
1638752044,4,0
1638754206,20,31
1638755284,12,9
1638756363,23,26
1638757504,23,10
1638758525,8,21
1638759244,10,1
1638760325,15,16
1638761407,12,24
1638762484,13,10
1638764285,19,19
1638765010,13,25
1638765728,8,9
1638766446,9,1
1638767524,8,13
1638768608,9,24
1638769746,11,2
1638770764,12,17
1638771845,15,0
1638772925,16,25
1638774124,7,14
1638774726,8,0
1638775866,9,22
1638776165,1,6
1638777964,25,24
1638779044,36,1
1638780245,12,31
1638780485,5,0
1638781624,17,30
1638782768,15,0
1638784445,23,27
1638785166,6,26
1638785884,7,0
1638786606,5,24
1638787324,7,5
1638788045,4,0
1638788764,7,11
1638789484,3,0
1638790206,9,14
1638791645,21,8
1638792784,14,20
1638793924,12,22
1638794524,13,4
1638795724,17,21
1638796685,9,0
1638797045,8,0
1638798847,29,23
1638799566,14,26
1638800285,9,0
1638800650,6,1
1638802445,27,22
1638803583,12,16
1638803885,1,0
1638804965,10,25
1638805684,13,0
1638806045,3,0
1638806765,7,16
1638807485,5,0
1638808206,8,12
1638810364,25,24
1638811805,20,21
1638813244,23,1
1638814384,16,23
1638816124,24,32
1638816844,3,2
1638818647,18,19
1638819009,10,16
1638820084,17,4
1638821165,16,16
1638821885,8,1
1638822966,12,34
1638823685,8,2
1638824046,4,1
1638825125,12,10
1638825845,5,0
1638826565,8,23
1638827285,8,0
1638829085,23,15
1638829808,9,17
1638830944,10,7
1638831244,1,0
1638833050,31,23
1638834128,18,19
1638835324,15,22
1638836286,12,2
1638836645,5,0
1638838444,11,21
1638839165,13,3
1638840664,15,24
1638841324,5,4
1638842044,5,0
1638843125,22,15
1638843845,11,1
1638845644,16,25
1638846364,10,15
1638846725,5,0
1638847444,8,0
1638848165,5,19
1638849965,18,12
1638850327,3,1
1638851050,10,1
1638851768,11,20
1638852485,8,2
1638853218,10,11
1638853925,12,1
1638855725,24,27
1638856445,5,0
1638857524,14,10
1638858243,4,0
1638858964,10,18
1638859325,3,1
1638860044,8,0
1638860766,15,11
1638861484,8,0
1638863284,39,30
1638865085,21,20
1638865807,3,14
1638867245,11,9
1638868686,18,37
1638869766,10,24
1638871566,19,21
1638871926,2,1
1638872645,8,0
1638874444,17,27
1638875165,5,18
1638875886,3,1
1638876608,6,21
1638878044,13,1
1638879123,14,15
1638879844,10,1
1638881644,20,19
1638883085,7,13
1638884525,21,25
1638885245,5,0
1638885964,4,9
1638886685,4,0
1638887411,6,18
1638887766,0,3
1638888844,11,3
1638890645,17,8
1638892444,20,26
1638893165,5,12
1638893884,10,0
1638894607,9,17
1638895743,12,5
1638896045,4,0
1638896765,7,19
1638898206,13,21
1638899645,13,15
1638901444,24,14
1638902525,18,18
1638904324,16,16
1638905050,8,0
1638906484,13,30
1638907563,17,12
1638908644,7,0
1638909844,11,14
1638911584,13,8
1638912610,7,23
1638912965,3,4
1638913685,3,0
1638914045,8,1
1638914764,11,20
1638915484,10,1
1638916924,14,27
1638917644,14,0
1638919085,14,12
1638919813,5,14
1638920169,3,2
1638921306,12,0
1638922324,10,16
1638922686,4,1
1638923824,18,20
1638924125,3,3
1638925324,4,22
1638926285,10,0
1638927008,7,29
1638927726,9,5
1638928815,14,19
1638929165,5,0
1638930245,8,1
1638931445,25,18
1638931685,4,1
1638933486,26,17
1638934925,13,19
1638935646,13,0
1638937088,14,14
1638938526,11,24
1638939617,17,14
1638940324,11,0
1638941765,21,32
1638942484,4,0
1638942843,5,0
1638943566,8,16
1638944284,8,1
1638945008,9,20
1638945725,12,5
1638946924,4,18
1638948146,4,0
1638949460,0,48
1638950589,0,8
1638953369,0,21
1638954462,0,20
1638955133,1,0
1638955812,0,12
1638956169,22,0
1638957964,154,21
1638958685,15,1
1638960125,24,40
1638961324,56,14
1638962285,10,1
1638962646,9,0
1638963364,6,17
1638964085,6,0
1638966244,12,14
1638967325,8,34
1638968044,50,0
1638968764,7,21
1638969125,5,0
1638970207,21,23
1638970926,11,6
1638972724,19,18
1638973449,7,1
1638974649,12,28
1638976325,15,18
1638977044,10,0
1638977765,5,25
1638978845,8,0
1638979924,8,20
1638980645,12,0
1638981364,8,25
1638982444,11,6
1638983166,11,29
1638983524,3,0
1638984607,10,36
1638985745,11,2
1638987484,28,19
1638988208,8,27
1638988924,7,16
1638990365,18,18
1638992170,22,26
1638992526,5,0
1638994325,14,13
1638995044,9,0
1638995765,9,21
1638996484,14,5
1638997924,23,13
1638999064,12,27
1638999365,1,4
1639000444,13,0
1639001164,11,20
1639001884,7,1
1639002965,13,52
1639003324,5,3
1639004524,14,24
1639005485,10,1
1639006570,12,21
1639007285,12,0
1639007644,1,0
1639008365,7,12
1639009085,4,0
1639011244,17,31
1639012684,20,17
1639014484,20,42
1639015923,10,18
1639017065,14,22
1639017725,6,8
1639018444,4,0
1639020245,17,18
1639020608,3,22
1639021324,7,6
1639023124,13,21
1639023846,4,0
1639024928,13,31
1639026013,7,15
1639026724,6,0
1639027444,7,0
1639028163,9,21
1639028524,2,1
1639030325,21,22
1639031043,9,0
1639031765,5,27
1639032964,12,2
1639033925,15,43
1639035724,13,30
1639036445,39,0
1639038245,19,24
1639038964,9,32
1639039685,10,5
1639040044,6,0
1639040763,15,22
1639041484,13,0
1639043285,22,20
1639043644,5,0
1639045444,37,13
1639046166,11,22
1639046886,11,3
1639048324,19,20
1639049044,6,0
1639049766,8,25
1639051566,20,17
1639053363,18,28
1639054085,8,5
1639055165,20,14
1639056244,9,0
1639056963,8,30
1639058765,26,18
1639060928,36,25
1639062724,19,9
1639063807,11,24
1639064944,11,6
1639065964,18,12
1639067105,18,0
1639068125,12,27
1639068845,13,0
1639069565,8,19
1639071364,22,27
1639071724,3,0
1639073524,22,18
1639074246,5,0
1639075686,19,17
1639077484,31,19
1639078568,12,17
1639078925,16,0
1639079644,10,1
1639080364,16,18
1639081445,20,0
1639082164,11,19
1639083244,17,3
1639084324,24,14
1639085044,9,2
1639085765,9,28
1639086485,17,1
1639086845,8,1
1639087926,31,20
1639088644,6,0
1639089364,12,20
1639089724,5,1
1639090445,19,1
1639091583,15,21
1639093327,21,27
1639094525,22,10
1639095484,17,0
1639096566,24,25
1639096926,3,1
1639098124,25,15
1639099084,16,2
1639099807,12,20
1639101244,24,8
1639103046,16,18
1639104484,21,35
1639105624,15,16
1639106284,13,0
1639107008,13,21
1639107726,14,2
1639109525,22,21
1639110611,15,22
1639111327,5,7
1639112525,9,17
1639113485,13,0
1639114208,7,18
1639114925,15,2
1639115645,7,0
1639116365,12,21
1639117084,12,0
1639117808,6,3
1639118525,7,1
1639120324,29,1
1639122843,32,3
1639124644,27,1
1639125366,10,15
1639127165,18,54
1639128969,20,86
1639129684,27,0
1639131484,26,23
1639132206,13,32
1639133645,16,19
1639135808,24,94
1639136524,9,6
1639137244,10,1
1639137965,14,58
1639138684,13,0
1639139764,14,29
1639140484,9,3
1639140846,5,1
1639141564,13,23
1639142284,13,0
1639142644,8,1
1639143725,16,33
1639144084,3,1
1639145224,17,18
1639145884,10,0
1639146610,11,15
1639147332,8,7
1639148044,7,1
1639148765,14,9
1639149844,19,3
1639150206,7,20
1639151284,16,8
1639151645,3,0
1639152725,16,10
1639153807,18,24
1639155246,28,6
1639157407,25,37
1639158124,8,4
1639158844,6,9
1639159923,8,21
1639160645,10,0
1639161366,9,28
1639162084,7,4
1639162444,3,0
1639163164,12,15
1639164970,25,18
1639166044,5,0
1639167484,16,20
1639168924,26,37
1639169645,10,1
1639170365,11,14
1639171808,17,20
1639172885,8,4
1639173243,5,2
1639175406,30,39
1639176124,23,6
1639176845,11,2
1639177564,7,13
1639177924,5,2
1639178648,11,0
1639179369,5,12
1639179730,1,0
1639180445,7,0
1639182244,25,21
1639182965,15,15
1639183684,8,9
1639184044,8,0
1639184765,9,13
1639185486,5,0
1639186925,12,25
1639187644,12,0
1639188724,12,14
1639189445,12,0
1639190525,10,24
1639191617,19,7
1639191966,2,0
1639193763,25,21
1639194124,6,0
1639195217,15,15
1639195925,11,0
1639196649,12,0
1639197370,5,20
1639197728,5,4
1639198445,4,1
1639199584,13,12
1639200244,2,1
1639201682,18,19
1639203125,15,18
1639203843,11,2
1639204206,3,23
1639205284,15,5
1639206424,15,40
1639207084,14,1
1639207806,9,20
1639208524,6,3
1639209245,8,0
1639209963,6,24
1639210684,11,0
1639211408,31,20
1639212484,19,4
1639213624,14,22
1639214285,12,1
1639215370,18,26
1639215726,5,1
1639216924,9,16
