DateTime,Entries,UniqueIPs
1638726844,3910,3910
1638727924,3901,3901
1638729364,3893,3893
1638731166,3893,3893
1638731884,3902,3902
1638733024,3886,3886
1638733326,3890,3890
1638735485,3893,3893
1638736563,3876,3876
1638737644,3881,3881
1638738365,3870,3870
1638739085,3873,3873
1638740166,3861,3861
1638741244,3865,3865
1638741616,3852,3852
1638744606,3861,3861
1638745565,3847,3847
1638745926,3851,3851
1638746649,3861,3861
1638747012,3836,3836
1638748084,3839,3839
1638749885,3842,3842
1638750246,3843,3843
1638751326,3821,3821
1638752044,3825,3825
1638754206,3814,3814
1638755284,3817,3817
1638756363,3814,3814
1638757504,3827,3827
1638758525,3814,3814
1638759244,3823,3823
1638760325,3822,3822
1638761407,3810,3810
1638762484,3813,3813
1638764285,3813,3813
1638765010,3801,3801
1638765728,3800,3800
1638766446,3808,3808
1638767524,3803,3803
1638768608,3788,3788
1638769746,3797,3797
1638770764,3792,3792
1638771845,3807,3807
1638772925,3798,3798
1638774124,3791,3791
1638774726,3799,3799
1638775866,3786,3786
1638776165,3781,3781
1638777964,3782,3782
1638779044,3817,3817
1638780245,3798,3798
1638780485,3803,3803
1638781624,3790,3790
1638782768,3805,3805
1638784445,3801,3801
1638785166,3781,3781
1638785884,3788,3788
1638786606,3769,3769
1638787324,3771,3771
1638788045,3775,3775
1638788764,3771,3771
1638789484,3774,3774
1638790206,3769,3769
1638791645,3782,3782
1638792784,3776,3776
1638793924,3766,3766
1638794524,3775,3775
1638795724,3771,3771
1638796685,3780,3780
1638797045,3788,3788
1638798847,3794,3794
1638799566,3782,3782
1638800285,3791,3791
1638800650,3796,3796
1638802445,3801,3801
1638803583,3797,3797
1638803885,3798,3798
1638804965,3783,3783
1638805684,3796,3796
1638806045,3799,3799
1638806765,3790,3790
1638807485,3795,3795
1638808206,3791,3791
1638810364,3792,3792
1638811805,3791,3791
1638813244,3813,3813
1638814384,3806,3806
1638816124,3798,3798
1638816844,3799,3799
1638818647,3798,3798
1638819009,3792,3792
1638820084,3805,3805
1638821165,3805,3805
1638821885,3812,3812
1638822966,3790,3790
1638823685,3796,3796
1638824046,3799,3799
1638825125,3801,3801
1638825845,3806,3806
1638826565,3791,3791
1638827285,3799,3799
1638829085,3807,3807
1638829808,3799,3799
1638830944,3802,3802
1638831244,3803,3803
1638833050,3811,3811
1638834128,3810,3810
1638835324,3803,3803
1638836286,3813,3813
1638836645,3818,3818
1638838444,3808,3808
1638839165,3818,3818
1638840664,3809,3809
1638841324,3810,3810
1638842044,3815,3815
1638843125,3822,3822
1638843845,3832,3832
1638845644,3823,3823
1638846364,3818,3818
1638846725,3823,3823
1638847444,3831,3831
1638848165,3817,3817
1638849965,3823,3823
1638850327,3825,3825
1638851050,3834,3834
1638851768,3825,3825
1638852485,3831,3831
1638853218,3830,3830
1638853925,3841,3841
1638855725,3838,3838
1638856445,3843,3843
1638857524,3847,3847
1638858243,3851,3851
1638858964,3843,3843
1638859325,3845,3845
1638860044,3853,3853
1638860766,3857,3857
1638861484,3865,3865
1638863284,3874,3874
1638865085,3875,3875
1638865807,3864,3864
1638867245,3866,3866
1638868686,3847,3847
1638869766,3833,3833
1638871566,3831,3831
1638871926,3832,3832
1638872645,3840,3840
1638874444,3830,3830
1638875165,3817,3817
1638875886,3819,3819
1638876608,3804,3804
1638878044,3816,3816
1638879123,3815,3815
1638879844,3824,3824
1638881644,3825,3825
1638883085,3819,3819
1638884525,3815,3815
1638885245,3820,3820
1638885964,3815,3815
1638886685,3819,3819
1638887411,3807,3807
1638887766,3804,3804
1638888844,3812,3812
1638890645,3821,3821
1638892444,3815,3815
1638893165,3808,3808
1638893884,3818,3818
1638894607,3810,3810
1638895743,3817,3817
1638896045,3821,3821
1638896765,3809,3809
1638898206,3801,3801
1638899645,3799,3799
1638901444,3809,3809
1638902525,3809,3809
