DateTime,AddedIPs,RemovedIPs
1638161068,12,12
1638163209,5,11
1638165124,8,19
1638167070,6,9
1638168966,10,15
1638171128,14,9
1638173073,16,14
1638177128,26,43
1638179289,14,16
1638181204,15,23
1638183145,12,14
1638185046,14,10
1638186963,17,18
1638192724,16,57
1638194672,10,21
1638196565,13,22
1638198737,18,15
1638200887,18,17
1638202827,10,33
1638204730,13,19
1638206647,12,0
1638208587,14,36
1638212415,11,4
1638214345,11,14
1638218409,16,22
1638220325,8,9
1638224165,20,11
1638226325,25,6
1638228250,11,12
1638230184,14,11
1638232088,11,35
1638235950,12,0
1638237847,10,14
1638240013,12,8
1638243849,3,8
1638245765,8,11
1638247716,6,8
1638253466,14,36
1638255374,18,24
1638257306,14,16
1638259211,12,7
1638261129,17,10
1638263070,17,11
1638264970,13,0
1638267131,12,14
1638269285,11,23
1638271445,14,8
1638273365,16,9
1638275307,12,13
1638277211,14,10
1638279124,16,12
1638281067,13,0
1638282967,8,11
1638285124,17,10
1638289204,12,33
1638291146,18,18
1638293047,10,14
1638294988,10,0
1638296885,12,7
1638298812,7,11
1638300746,10,14
1638302650,15,12
1638304587,16,12
1638306487,13,9
1638308404,8,6
1638310347,10,11
1638312249,18,4
1638314428,10,13
1638316323,8,5
1638318245,11,14
1638320056,19,4
1638324012,13,12
1638325945,11,17
1638327850,6,5
1638329789,12,4
1638331684,16,11
1638333627,17,9
1638335524,15,16
1638337469,4,10
1638339366,13,14
1638345124,23,41
1638347067,15,20
1638349204,20,0
1638351149,16,17
1638353049,24,17
1638354986,15,13
1638357144,20,21
1638359048,13,15
1638360966,18,17
1638362907,17,12
1638364804,12,23
1638366724,19,15
1638368667,18,19
1638370564,8,16
1638372505,14,24
1638374418,9,27
1638376354,20,17
1638378429,12,8
1638380426,22,11
1638382326,15,16
1638384246,12,0
1638386186,21,9
1638388086,13,6
1638390028,15,14
1638391931,10,17
1638393866,13,11
1638395769,22,5
1638399622,22,23
1638401523,19,8
1638403475,8,8
1638405366,13,0
1638407309,3,11
1638409466,14,22
1638411365,7,0
1638413283,8,14
1638415467,9,11
1638417365,17,0
1638419536,18,22
1638421470,7,14
1638423367,7,14
1638425305,9,14
1638427467,17,20
1638429366,16,15
1638431285,21,21
1638433225,23,22
1638435124,20,0
1638437067,20,21
1638438965,23,8
1638441150,17,13
1638443049,16,7
1638445228,21,17
1638447126,12,0
1638449045,23,10
1638450985,15,0
1638453129,10,17
1638455065,14,0
1638456964,11,18
1638459149,15,7
1638461047,16,0
1638463225,10,9
1638465130,17,15
1638467069,11,14
1638468966,8,0
1638470886,15,11
1638472807,12,12
1638474748,10,0
1638476645,20,13
1638478569,9,13
1638480745,11,11
1638482646,9,0
1638484565,16,14
