DateTime,Entries,UniqueIPs
1638161068,7165,7504
1638163209,7159,7498
1638165124,7165,7506
1638167070,7168,7506
1638168966,7168,7505
1638171128,7169,7507
1638173073,7171,7510
1638177128,7177,7514
1638179289,7172,7506
1638181204,7172,7505
1638183145,7165,7498
1638185046,7168,7499
1638186963,7165,7494
1638192724,7128,7456
1638194672,7130,7456
1638196565,7131,7457
1638198737,7132,7458
1638200887,7139,7466
1638202827,7150,7477
1638204730,7146,7471
1638206647,7140,7465
1638208587,7141,7467
1638212415,7100,7423
1638214345,7104,7427
1638218409,7077,7398
1638220325,7069,7388
1638224165,7067,7383
1638226325,7089,7404
1638228250,7086,7401
1638230184,7086,7401
1638232088,7089,7404
1638235950,7067,7383
1638237847,7061,7377
1638240013,7066,7381
1638243849,7054,7366
1638245765,7056,7368
1638247716,7049,7360
1638253466,7020,7329
1638255374,7027,7336
1638257306,7014,7324
1638259211,7000,7311
1638261129,6986,7297
1638263070,6990,7301
1638264970,6972,7282
1638267131,6966,7275
1638269285,6957,7266
1638271445,6958,7267
1638273365,6950,7258
1638275307,6943,7253
1638277211,6936,7247
1638279124,6939,7250
1638281067,6927,7238
1638282967,6916,7228
1638285124,6923,7235
1638289204,6895,7209
1638291146,6919,7233
1638293047,6913,7227
1638294988,6916,7230
1638296885,6922,7236
1638298812,6928,7242
1638300746,6932,7248
1638302650,6937,7254
1638304587,6954,7272
1638306487,6964,7282
1638308404,6971,7292
1638310347,6975,7304
1638312249,6990,7320
1638314428,7000,7330
1638316323,7006,7337
1638318245,7021,7354
1638320056,7042,7375
1638324012,7050,7384
1638325945,7065,7399
1638327850,7053,7387
1638329789,7053,7386
1638331684,7059,7393
1638333627,7073,7406
1638335524,7072,7407
1638337469,7065,7405
1638339366,7071,7411
1638345124,7029,7369
1638347067,7030,7371
1638349204,7029,7371
1638351149,7033,7374
1638353049,7048,7390
1638354986,7049,7391
1638357144,7047,7389
1638359048,7045,7387
1638360966,7045,7387
1638362907,7046,7388
1638364804,7034,7374
1638366724,7020,7359
1638368667,7028,7362
1638370564,7026,7363
1638372505,7027,7365
1638374418,7025,7364
1638376354,7029,7368
1638378429,7032,7369
1638380426,7040,7378
1638382326,7038,7379
1638384246,7044,7385
1638386186,7053,7394
1638388086,7053,7392
1638390028,7056,7395
1638391931,7057,7395
1638393866,7052,7388
1638395769,7075,7411
1638399622,7080,7416
1638401523,7080,7413
1638403475,7076,7409
1638405366,7075,7408
1638407309,7072,7405
1638409466,7070,7403
1638411365,7078,7412
1638413283,7076,7409
1638415467,7056,7389
1638417365,7065,7398
1638419536,7073,7406
1638421470,7068,7400
1638423367,7074,7406
1638425305,7065,7397
1638427467,7060,7392
1638429366,7048,7379
1638431285,7056,7386
1638433225,7069,7400
1638435124,7076,7409
1638437067,7081,7417
1638438965,7089,7421
1638441150,7086,7417
1638443049,7086,7416
1638445228,7078,7408
1638447126,7077,7406
1638449045,7083,7410
1638450985,7083,7410
1638453129,7086,7413
1638455065,7084,7411
1638456964,7074,7402
1638459149,7089,7419
1638461047,7090,7418
1638463225,7092,7420
1638465130,7097,7426
1638467069,7092,7421
1638468966,7091,7419
1638470886,7090,7418
1638472807,7104,7432
1638474748,7094,7422
1638476645,7096,7426
1638478569,7082,7412
1638480745,7077,7406
1638482646,7081,7411
1638484565,7088,7418
1638486506,7080,7410
1638488673,7076,7405
1638490566,7070,7399
1638492768,7060,7389
1638494647,7074,7405
1638498483,7074,7404
1638500408,7078,7408
1638502345,7083,7413
1638504250,7083,7415
1638506189,7094,7426
1638508091,7090,7428
1638510004,7099,7433
1638511954,7111,7445
1638513849,7101,7436
1638515791,7096,7432
1638517688,7099,7434
1638519628,7097,7431
1638521525,7102,7436
1638523448,7097,7430
1638525385,7093,7423
1638527290,7090,7420
1638529452,7092,7417
1638531389,7093,7417
1638533290,7093,7416
1638537124,7057,7383
1638539044,7056,7382
