DateTime,AddedIPs,RemovedIPs
1638161068,45,49
1638163209,37,39
1638165124,54,52
1638167070,51,58
1638168966,56,48
1638171128,63,61
1638173073,66,64
1638177128,67,66
1638179289,58,63
1638181204,66,59
1638183145,52,68
1638185046,60,51
1638186963,59,58
1638192724,36,62
1638194672,58,30
1638196565,63,61
1638198737,62,66
1638200887,67,60
1638202827,48,69
1638204730,58,47
1638206647,51,53
1638208587,54,53
1638212415,52,58
1638214345,62,49
1638218409,60,60
1638220325,61,64
1638224165,62,60
1638226325,62,62
1638228250,50,62
1638230184,53,49
1638232088,49,51
1638235950,49,49
1638237847,47,45
1638240013,55,51
1638243849,9,61
1638245765,47,5
1638247716,43,35
1638253466,58,57
1638255374,61,55
1638257306,59,61
1638259211,48,61
1638261129,61,49
1638263070,59,58
1638264970,57,62
1638267131,60,57
1638269285,57,57
1638271445,65,56
1638273365,50,64
1638275307,62,52
1638277211,60,64
1638279124,59,59
1638281067,55,57
1638282967,54,56
1638285124,54,55
1638289204,58,56
1638291146,52,54
1638293047,53,53
1638294988,57,55
1638296885,55,56
1638298812,61,56
1638300746,50,61
1638302650,47,48
1638304587,57,50
1638306487,58,52
1638308404,53,65
1638310347,53,52
1638312249,52,47
1638314428,45,47
1638316323,51,51
1638318245,66,55
1638320056,49,60
1638324012,61,52
1638325945,55,62
1638327850,32,33
1638329789,56,56
1638331684,46,43
1638333627,54,55
1638335524,54,54
1638337469,33,49
1638339366,56,40
1638345124,71,57
1638347067,52,71
1638349204,60,51
1638351149,64,60
1638353049,64,65
1638354986,59,66
1638357144,71,59
1638359048,56,67
1638360966,66,62
1638362907,62,60
1638364804,60,65
1638366724,51,57
1638368667,59,54
1638370564,64,58
1638372505,58,62
1638374418,48,61
1638376354,60,48
1638378429,55,59
1638380426,63,56
1638382326,57,65
1638384246,52,51
1638386186,61,55
1638388086,56,59
1638390028,60,60
1638391931,47,57
1638393866,52,45
1638395769,58,52
1638399622,54,59
1638401523,52,56
1638403475,35,38
1638405366,56,47
1638407309,43,43
1638409466,57,55
1638411365,52,50
1638413283,34,44
1638415467,47,52
1638417365,48,39
1638419536,54,57
1638421470,38,44
1638423367,51,45
1638425305,39,39
1638427467,59,52
1638429366,56,60
1638431285,58,55
1638433225,65,60
1638435124,67,65
1638437067,69,67
1638438965,71,70
1638441150,59,68
1638443049,62,60
1638445228,63,61
1638447126,55,64
1638449045,61,58
1638450985,57,61
1638453129,63,51
1638455065,49,67
1638456964,58,47
1638459149,52,60
1638461047,56,49
1638463225,52,59
1638465130,52,54
1638467069,50,47
1638468966,53,51
1638470886,57,55
1638472807,55,52
1638474748,57,58
1638476645,63,59
1638478569,41,54
1638480745,51,46
1638482646,41,39
1638484565,64,54
1638486506,27,37
1638488673,48,54
1638490566,38,38
1638492768,52,47
1638494647,57,52
1638498483,61,61
1638500408,56,55
1638502345,54,54
1638504250,41,37
1638506189,58,63
1638508091,34,38
1638510004,55,57
1638511954,71,57
1638513849,53,69
1638515791,56,51
1638517688,63,60
1638519628,49,62
1638521525,54,47
1638523448,70,55
1638525385,65,70
1638527290,57,63
1638529452,65,58
1638531389,64,66
1638533290,67,64
1638537124,59,66
1638539044,64,62
1638540987,61,60
1638542884,56,59
1638544825,52,58
1638546733,57,50
1638548666,61,58
1638550574,56,61
1638552506,54,59
1638554415,52,51
1638556324,49,56
1638558270,49,38
1638560168,39,59
1638562109,45,31
1638564271,48,51
1638566168,49,46
1638568108,44,37
1638570010,48,58
1638571947,53,48
1638573850,41,53
1638575784,39,36
1638577687,50,41
1638579611,47,47
1638581532,52,54
1638583467,44,41
1638585371,52,51
1638587308,36,38
1638589352,52,52
1638591386,63,54
1638593547,42,63
1638595447,42,28
1638597368,44,49
1638599307,59,54
1638601212,54,58
1638603371,50,50
1638605304,55,48
1638607268,53,57
1638609153,66,54
1638611067,55,64
1638612966,63,58
1638614851,67,66
1638616812,62,66
1638618728,62,62
1638620647,71,63
1638622566,56,67
1638624504,59,61
1638628346,63,57
1638630247,51,51
1638632409,56,64
1638636246,54,50
1638638186,59,55
1638640088,44,58
1638642249,62,46
1638646107,63,64
1638648013,49,61
1638649929,56,46
1638651867,28,41
1638653764,58,47
1638655924,62,59
1638657869,56,58
1638659786,51,56
1638663627,50,54
1638665768,65,50
1638667705,62,68
1638669610,49,57
1638671525,61,51
1638673466,52,52
1638675373,63,62
1638677546,66,62
1638679445,60,67
1638681605,61,53
1638683523,59,64
1638685465,70,64
1638687365,73,70
1638689305,61,70
1638691204,53,61
1638693124,72,57
1638695089,56,70
1638696965,56,57
1638699128,70,58
1638701287,59,66
1638703449,64,59
1638705365,66,61
1638707308,68,68
1638709216,62,70
1638711370,59,62
1638713524,66,58
1638715688,69,67
1638719530,62,68
1638721470,63,65
1638723367,63,61
1638725305,67,63
1638727218,50,69
1638729145,67,48
1638731048,50,66
1638733209,63,51
1638735092,57,61
1638737047,60,59
1638738987,61,58
1638740883,58,63
1638743049,61,57
1638744988,42,65
1638746887,60,41
1638748806,56,52
1638750747,52,56
1638752888,49,44
1638755046,55,61
1638756987,21,59
1638758888,65,22
1638761046,57,60
1638763210,47,56
1638765372,59,50
1638767305,59,53
1638769207,54,62
1638771124,69,60
1638773072,59,65
1638778805,60,60
1638780969,58,62
1638783125,67,55
1638785288,63,67
1638787457,64,63
1638789364,68,65
1638791310,62,67
1638793205,67,65
1638795127,59,65
1638797074,59,57
1638798967,47,60
1638800905,45,45
1638802817,61,46
1638804747,60,63
1638806649,62,62
1638808810,58,62
1638810987,64,56
1638812886,61,64
1638816745,57,62
1638818645,70,58
1638820819,57,67
1638822745,69,61
1638824648,50,57
1638826812,60,57
1638828724,55,63
1638830666,57,53
1638832566,56,54
1638836647,55,58
1638838589,57,56
1638840729,50,55
1638842886,62,52
1638844826,65,62
1638846727,61,63
1638848886,58,62
1638850826,52,62
1638852726,58,50
1638854645,54,51
1638856587,62,61
1638858486,58,60
1638860654,67,56
1638862591,64,70
1638864484,59,63
1638866650,62,62
1638868808,52,62
1638870725,61,51
1638872683,66,62
1638874567,58,64
1638876725,62,60
1638878648,59,62
1638880590,58,56
1638884661,56,60
1638886821,61,57
1638888967,57,58
1638890908,55,58
1638892806,48,55
1638894970,65,47
1638896908,62,68
1638898812,57,58
1638900750,58,56
1638904569,64,62
1638906507,57,66
1638908407,56,55
1638910324,46,54
1638912245,58,46
1638914409,55,60
1638918268,61,51
1638920170,21,64
1638922113,48,16
1638924010,51,52
1638926166,59,55
1638928326,49,56
1638930247,59,47
1638932187,64,60
1638934347,61,66
1638936249,49,47
1638938189,60,63
1638940345,52,59
1638942247,59,46
1638946353,64,68
1638948315,55,61
1638950283,64,52
1638952380,62,67
1638954832,71,66
