DateTime,AddedIPs,RemovedIPs
1629072943,1,0
1629104441,1,0
1629115542,1,0
1629127237,0,1
1629153945,0,1
1629154843,0,1
1629191744,1,0
1629244849,2,0
1629259249,1,0
1629385836,0,1
1629439245,1,0
1629468636,1,0
1629542744,1,0
1629564339,1,0
1629698440,0,1
1629718536,1,0
1629777639,1,0
1629788135,1,0
1629790536,1,0
1629807937,1,0
1629837944,1,0
1629854142,46,0
1629878741,1,0
1630000536,90,0
1630001142,72,0
1630028438,0,1
1630049736,1,0
1630066838,1,0
1630105245,1,0
1630107045,1,0
1630108852,2,0
1630166448,1,0
1630184445,1,0
1630198847,3,0
1630246547,0,1
1630258537,0,524
1630260046,1,0
1630274451,1,0
1630303244,1,0
1630332047,0,1
1630350044,1,0
1630403144,14,0
1630409440,1,0
1630413942,0,1
1630426543,1,0
1630438841,1,0
1630476638,44,0
1630476945,10,0
1630490449,11,0
1630540241,0,1
1630549239,0,23
1630549541,0,169
1630606845,0,2
1630619142,0,2
1630747841,1,0
1630749037,1,0
1630760448,1,0
1630770641,1,0
1630779341,1,0
1630782638,1,0
1630879251,1,0
1630904447,1,0
1631115043,1,0
1631131247,1,0
1631145643,2,0
1631205339,0,1
1631212839,0,1
1631224851,1,0
1631231440,0,1
1631232340,0,1
1631232639,0,1
1631232947,0,1
1631233538,0,1
1631270739,0,1
1631271647,1,0
1631279142,2,0
1631289648,1,0
1631304044,3,0
1631320838,0,1
1631322044,1,0
1631330437,1,0
1631332847,2,0
1631338536,0,2
1631376043,1,0
1631407542,0,2
1631412047,1,0
1631419246,1,0
1631443541,0,1
1631483738,6,0
1631495436,0,1
1631515840,0,1
1631549739,0,1
1631576436,6,0
1631578240,0,1
1631584845,3,0
1631610044,1,0
1631613645,2,0
1631723139,1,0
1631724638,1,0
1631730039,1,0
1631779247,1,0
1631786445,2,0
1631790048,2,0
1631793649,1,0
1631797243,1,0
1631800848,1,0
1631804447,1,0
1631810744,0,1
1631937937,1,0
1631955644,1,0
1631991643,1,0
1632002450,1,0
1632034850,1,0
1632039639,0,1
1632060051,1,0
1632064838,1,0
1632078047,1,0
1632110443,1,0
1632114940,0,1
1632157244,1,0
1632225650,3,0
1632229248,2,0
1632246348,0,1
1632250844,1,0
1632255937,1,0
1632258048,1,0
1632292839,1,0
1632293445,1,0
1632296138,1,0
1632330640,1,0
1632331538,1,0
1632332137,1,0
1632338438,0,1
1632346839,1,0
1632354641,1,0
1632357053,1,0
1632441656,1,0
1632452136,0,6
1632469544,1,0
1632494744,1,0
1632508241,0,2
1632512137,0,1
1632531643,2,0
1632533139,1,0
1632535242,1,0
1632547540,4,0
1632549940,1,0
1632553246,2,0
1632556844,2,0
1632560448,3,0
1632564043,3,0
1632567648,3,0
