DateTime,AddedIPs,RemovedIPs
1630632651,2,0
1630661137,0,1
1630662640,0,1
1630669242,0,1
1630670452,0,1
1630676441,0,1
1630687848,0,1
1630689640,0,1
1630700438,0,1
1630714240,0,1
1630718439,4,0
1630718739,3,0
1630719052,5,0
1630719337,3,0
1630719940,1,0
1630725038,0,2
1630725345,0,1
1630734038,1,0
1630734640,0,1
1630735541,0,1
1630739440,0,1
1630758038,0,1
1630773340,0,1
1630781438,0,1
1630784139,1,0
1630795240,0,1
1630818045,0,1
1630826142,0,1
1630841137,1,0
1630849841,1,0
1630850138,3,0
1630869343,0,1
1630895739,1,0
1630908638,0,1
1630909239,0,1
1630918241,1,0
1630940137,0,1
1630945840,0,1
1630952436,0,1
1630959343,1,0
1630963539,2,0
1630968936,0,1
1630983338,0,1
1631003737,0,1
1631004350,0,1
1631004937,0,1
1631027143,0,1
1631031341,0,1
1631040343,0,1
1631057442,0,1
1631059840,0,1
1631063747,0,1
1631078144,0,1
1631103637,0,1
1631113539,1,0
1631115638,0,1
1631116536,0,1
1631118337,0,1
1631120137,0,1
1631148038,0,1
1631198136,0,1
1631217938,0,1
1631231737,0,1
1631232340,0,1
1631232639,0,1
1631234741,0,1
1631236838,210,0
1631247037,0,1
1631251238,0,1
1631265344,1,0
1631270739,1,0
1631271648,0,1
1631290839,1,0
1631303736,1,0
1631310040,1,0
1631346641,0,1
1631385943,0,2
1631401836,1,0
1631409937,0,1
1631444446,1,0
1631446537,1,0
1631455837,0,1
1631461544,0,1
1631488838,0,1
1631499038,0,1
1631500243,0,1
1631511941,0,1
1631520341,1,0
1631544638,0,1
1631554839,3,0
1631556637,0,1
1631582141,0,1
1631586337,1,0
1631587840,0,1
1631603437,0,1
1631637045,0,1
1631670340,0,1
1631675747,1,0
1631678741,0,1
1631714737,0,1
1631750450,1,0
1631770241,0,1
1631782848,0,1
1631793042,1,0
1631855436,0,1
1631859038,47,0
1631873438,1,0
1631896839,0,1
1631941837,0,1
1631951438,0,1
1631980537,0,1
1631992541,0,1
1632039040,1,0
1632039639,0,36
1632040245,0,1
1632049841,0,1
1632063041,64,0
1632064544,136,0
1632066641,120,0
1632070847,60,0
1632071141,46,0
1632071441,129,0
1632071746,86,0
1632072040,64,0
1632118240,1,0
1632184247,0,1
1632201037,0,1
1632241241,0,1
1632248145,0,1
1632262839,2,0
1632335137,0,1
1632364536,7,0
1632364840,1,0
1632365148,3,0
1632366942,1,1
1632373545,1,0
1632376239,3,0
1632376846,2,0
1632381639,1,0
1632385538,0,1
1632390645,1,0
1632423647,0,1
1632438050,1,0
1632449142,2,0
1632452137,0,1
1632462641,1,0
1632463246,3,0
1632463840,6,0
1632466846,1,0
1632471038,0,1
1632531643,0,1
1632570038,0,1
1632588671,0,1
1632594644,0,1
1632615339,1,0
1632641738,2,0
1632652543,0,1
1632663643,1,0
1632666641,0,1
1632699044,0,1
1632710440,1,0
1632759037,2,0
1632787841,1,0
1632807045,1,0
1632810939,0,1
1632820840,1,0
1632842149,1,0
1632858939,0,1
1632869146,1,0
1632915045,0,1
1632915338,1,0
1632917743,1,0
1632922242,0,1
1632924639,0,2
1632968440,0,1
1633005338,0,1
1633008340,0,1
1633009842,1,0
1633029041,0,1
1633034440,1,0
1633034745,1,0
1633049439,0,1
1633112150,0,1
1633133438,0,1
1633167041,0,2
1633195841,0,1
1633243846,6,0
1633249539,0,1
1633265446,0,2
1633322748,0,1
1633384243,1,0
1633386337,0,1
1633418439,1,0
1633419338,1,0
1633433140,0,1
1633477837,0,1
1633529439,0,1
1633559739,0,1
1633586137,0,1
1633594237,0,1
1633604138,0,1
1633605041,0,2
1633631737,0,1
1633638644,0,1
1633650042,1,0
1633651841,2,0
1633679445,0,1
1633702545,8,0
1633703737,3,0
1633704642,1,0
1633722343,2,0
1633731038,0,1
1633731940,0,1
1633732248,0,1
1633733149,0,2
1633733443,0,1
1633734044,0,3
1633734946,0,1
1633735261,0,1
1633779948,2,0
1633796440,1,0
1633845944,0,1
1633903546,0,1
1633939838,0,2
1633963241,0,1
1633992939,0,1
1633997440,0,1
1634000137,0,1
1634051440,0,1
1634095850,1,0
1634139044,0,1
1634223944,0,1
1634256639,2,0
1634276137,0,1
1634305546,0,1
1634316039,0,1
1634506252,0,1
1634516146,0,3
1634516438,0,1
1634538040,1,0
1634568040,1,0
1634568938,0,1
1634577038,1,0
1634583647,0,1
1634598638,1,0
1634647846,0,1
1634650539,1,0
1634671239,0,1
1634671848,1,0
1634675138,0,1
1634679340,0,7
1634688943,0,1
1634698246,1,0
1634712041,0,1
1634748644,0,1
1634774137,0,1
1634794540,0,2
1634809239,0,1
1634811040,0,25
1634811349,2,18
1634811641,3,0
1634823054,1,0
1634858152,1,0
1634922643,1,0
1634942138,1,0
1634954139,0,1
1634969441,0,1
1635008453,3,0
1635028242,1,0
1635028839,1,0
1635029147,1,0
1635030947,1,0
1635032442,1,0
1635035446,1,0
1635090347,0,1
1635095140,0,1
1635112541,2,0
1635143140,1,0
1635149438,0,1
1635175541,1,0
1635200739,0,1
1635204646,0,1
1635214840,0,1
1635238854,1,0
1635306640,1,0
1635402652,1,0
1635413137,0,1
1635433544,0,1
1635441641,0,1
1635458137,1,0
1635458457,1,0
1635466547,2,0
1635486641,1,0
1635519650,2,0
1635520241,2,0
1635521742,1,0
1635522352,1,0
1635522937,1,0
1635527440,1,0
1635550543,0,1
1635567941,1,0
1635570952,0,1
1635625540,0,1
1635653441,0,1
1635678348,1,0
1635700239,0,1
1635752140,1,0
1635835240,1,0
1635841241,0,1
1635841848,0,1
1635846041,1,0
1635866147,1,0
1635866441,0,1
1635927351,0,1
1635943243,0,1
1636023646,0,1
1636029639,0,1
1636031143,254,0
1636037743,0,1
1636051241,0,1
1636060842,1,0
1636062342,1,0
1636070453,1,0
1636081248,1,0
1636084538,1,0
1636085141,1,0
1636085741,2,0
1636086642,2,0
1636086941,1,0
1636087840,1,0
1636088445,3,0
1636088743,1,0
1636094440,1,0
1636097738,1,0
1636102244,0,1
1636136147,0,1
1636221336,0,1
1636227942,0,1
1636272638,1,0
1636307441,1,0
1636326638,1,0
1636330544,0,1
1636362042,1,0
1636365647,0,2
1636368639,1,0
1636394138,0,1
1636398341,0,1
1636401043,0,1
1636419041,1,0
1636435845,1,0
1636445743,0,2
1636446939,0,1
1636448138,0,1
1636463742,1,0
1636560640,1,0
1636569043,0,1
1636598749,0,1
1636659344,0,1
1636677943,0,1
1636681840,0,1
1636688440,1,0
1636689943,1,0
1636716642,1,0
1636734338,0,1
1636740046,0,143
1636766739,0,1
1636809641,0,4
1636843842,12,0
1636913743,1,0
1637000177,0,1
1637070344,0,1
1637135442,0,1
1637138439,1,0
1637139039,3,0
1637166941,1,0
1637184942,1,1
1637227542,1,0
1637228442,0,1
1637232641,1,0
1637233839,0,1
1637234143,0,1
1637235951,1,0
1637319338,0,1
1637338238,1,0
1637338842,0,1
1637347242,0,2
1637361944,1,0
1637376039,7,0
1637376346,1,0
1637392241,1,0
1637451946,0,1
1637457345,1,0
1637465738,1,0
1637472339,1,0
1637535650,2,0
1637566245,0,1
1637567737,1,0
1637568641,1,0
1637573446,0,1
