DateTime,AddedIPs,RemovedIPs
1625005332,256,0
1625066133,256,0
1625070635,0,256
1625091336,0,256
1625113026,256,0
1625148934,512,0
1625157039,0,256
1625178651,256,0
1625200258,0,256
1625234468,0,256
1625235304,512,0
1625321704,0,256
1625329827,0,256
1625351437,256,0
1625355948,0,256
1625407827,256,512
1625439638,256,0
1625490904,512,0
1625495435,256,0
1625502630,256,0
1625524241,0,256
1625576457,0,1024
1625580082,256,0
1625666463,0,256
1625682638,256,0
1625704250,0,256
1625757098,256,0
1625757302,0,256
1625841902,0,256
1625862641,256,0
1625925624,256,0
1625949039,0,256
1626011103,0,256
1626021029,256,0
1626034502,0,256
1626182103,512,0
1626222645,256,0
1626272103,0,256
1626275297,256,0
1626361360,0,512
1626366633,0,256
1626381038,256,0
1626394752,256,0
1626447648,0,256
1626467429,256,256
1626472844,256,0
1626474641,256,0
1626520238,256,0
1626534903,0,256
1626561044,0,256
1626568251,256,0
1626611451,0,512
1626624030,256,0
1626632103,0,256
1626653813,0,256
1626710431,0,256
1626712234,256,0
1626719437,256,0
1626786902,768,0
1626799539,0,256
1626804903,0,256
1626805842,256,0
1626872455,0,512
1626876633,256,0
1626913419,256,0
1626961558,0,512
1626966176,256,0
1626971437,0,256
1627052455,0,256
1627060503,768,0
1627085702,0,256
1627146034,0,256
1627165839,0,256
1627171341,256,0
1627173045,256,0
1627220702,0,256
1627225856,256,0
1627252230,256,0
1627390840,0,512
1627394428,256,0
1627396231,256,0
1627414202,256,0
1627433152,0,256
1627479953,0,768
1627483524,512,0
1627565441,0,512
1627601276,256,0
1627682281,3328,0
1627686184,0,512
1627767791,0,3328
1627780378,2816,0
1627823404,512,0
1627829001,1024,0
1627862288,256,0
1627866757,0,768
1627870548,256,0
1627911803,0,1792
1627915404,0,1024
1627947789,512,768
1627952291,256,0
1627964636,256,0
1628030611,0,1024
1628039587,1280,0
1628047656,0,256
1628052189,0,256
1628096281,768,0
1628100782,256,0
1628121492,256,768
1628179113,0,768
1628187214,0,256
1628195528,0,256
1628206956,0,256
1628211492,1024,0
1628227656,0,256
1628296955,0,1024
1628300584,1280,0
1628354577,1024,0
1628383389,0,512
1628437409,0,1280
1628452716,0,256
1628461757,0,256
1628473391,1024,0
1628558473,768,1024
1628638955,0,768
1628643482,1024,0
1628726319,0,1024
1628730791,2048,0
1628813621,0,2048
1628816285,1280,0
1628883778,768,0
1628887379,256,0
1628891882,256,0
1628905387,0,1024
1628970206,0,768
1628974685,1024,256
1628986647,0,256
1629059253,0,1280
1629075490,1280,0
1629157418,0,1024
1629161886,768,0
1629178953,0,256
1629245587,1024,768
1629331124,0,1024
1629336368,1536,0
1629422852,256,768
1629492151,512,0
1629495781,256,0
1629503884,0,768
1629578255,0,512
1629589352,768,256
1629593891,768,0
1629675807,0,1024
1629679384,512,0
1629765814,0,1280
1629770288,768,0
1629775651,256,0
1629783793,256,0
1629807931,256,0
1629853084,768,768
1629893596,0,256
1629938551,0,1280
1629942178,1280,0
1629987185,256,0
1630003375,1024,0
1630023182,256,0
1630027650,0,1024
1630039350,256,0
1630092640,0,1280
1630108685,1024,0
1630113187,0,256
1630145602,0,256
1630194150,0,1280
1630202286,1536,0
1630287749,512,1024
1630371482,768,1024
1630457007,0,768
1630460549,1024,0
1630521748,768,0
1630546984,0,512
1630603821,1536,768
1630608148,0,256
1630619915,0,256
1630632449,2048,0
1630640549,256,0
1630677501,1280,768
1630718666,1024,1792
1630722507,256,0
1630734148,0,256
1630762947,0,2304
1630799911,0,1024
1630804379,768,0
1630808848,0,256
1630888381,0,768
1630892547,256,0
1630978047,256,256
1631051875,512,0
1631055476,0,256
1631133791,0,512
1631138275,512,0
1631155346,256,0
1631220146,0,512
1631238146,1024,256
1631321879,0,512
1631330847,256,0
1631397468,256,0
1631406558,256,256
1631414546,0,256
1631471458,512,0
1631483876,0,512
1631492846,0,256
1631556789,0,512
1631576546,512,0
1631580146,256,0
1631648605,0,512
1631665373,0,256
1631669245,512,0
1631752988,0,256
1631810544,0,256
1631842118,512,0
1631926678,512,256
1632012201,0,768
1632016679,1024,0
1632100379,0,512
1632182243,0,512
1632186778,512,0
1632274073,512,512
1632358679,1024,256
1632440783,0,1280
1632445080,768,0
1632533616,0,256
1632613433,0,512
1632622382,512,0
1632706946,256,256
1632711473,256,0
1632771767,768,0
1632789741,0,512
1632840160,1280,0
1632853642,0,768
1632861741,0,256
1632922961,768,0
1632926541,0,1024
1632949941,256,0
1633005741,0,256
1633010241,0,256
1633021961,512,0
1633026462,0,256
1633035441,0,256
1633048069,256,0
1633104760,0,256
1633183040,0,512
1633187541,256,0
1633201041,256,0
1633222640,256,0
1633270340,0,256
1633274852,256,0
1633283840,0,256
1633306340,0,256
1633359163,256,256
1633367561,256,0
1633384640,256,0
1633444959,512,256
1633453040,256,0
1633462966,256,0
1633526872,0,1280
1633540359,512,256
1633625628,0,256
1633629439,256,0
1633702338,512,0
1633706851,256,0
1633712033,0,256
1633715839,0,256
1633720360,256,0
1633786939,0,768
1633790538,0,256
1633795038,768,0
1633803159,0,256
1633807654,256,0
1633812138,256,0
1633825665,256,0
1633877619,256,768
1633890454,0,256
1633907538,256,0
1633912059,256,256
1633958874,0,512
1633984963,512,0
1633993937,0,256
1634069537,0,512
1634078565,512,0
1634083067,0,256
1634137937,768,0
1634164964,0,512
1634224337,0,768
1634242445,256,0
1634332414,0,256
1634350342,768,0
1634433179,512,512
1634516921,0,768
1634521335,768,0
1634607735,512,768
1634690534,0,512
1634694135,1280,0
1634776064,256,0
1634780564,0,256
1634839953,512,0
1634861534,0,1024
1634925481,0,768
1634930029,1024,0
1634934463,256,0
1635014604,0,768
1635018133,0,256
1635035233,0,256
1635039733,1024,0
1635126133,256,1024
1635129733,256,0
1635212222,256,0
1635216133,0,256
1635295332,0,512
1635298933,768,0
1635308876,256,0
1635385332,1280,768
1635459163,1536,0
1635468131,0,1280
1635543731,0,1536
1635551869,1024,0
1635557018,256,0
1635633731,0,1024
1635641868,512,256
1635647269,256,0
1635725603,0,1024
1635730071,768,0
1635814661,512,768
1635898387,0,512
1635902942,1024,0
1635957729,256,0
1635961353,256,0
