DateTime,AddedIPs,RemovedIPs
1632180250,34,36
1632191770,31,18
1632196743,130,53
1632199449,27,9
1632207128,8,0
1632218421,1953,2152
1632243386,419,336
1632268568,18,25
1632280091,35,19
1632283142,120,72
1632288009,30,50
1632291846,7,12
1632304819,1789,2003
1632335778,381,339
1632354248,41,24
1632366010,40,24
1632369542,136,89
1632373686,25,30
1632377527,13,17
1632391218,2047,1921
1632415448,401,459
1632440172,33,23
1632453127,33,15
1632459613,24,26
1632464647,21,23
1632477619,1583,2078
1632507372,349,356
1632525607,31,8
1632548404,39,20
1632548890,27,33
1632552247,8,21
1632560418,1523,1581
1632600518,515,1219
1632614648,26,21
1632622569,22,0
1632628742,119,80
1632630246,28,26
1632637925,12,11
1632643219,1305,1766
1632692668,349,2223
1632699369,29,28
1632710885,31,20
1632715142,115,49
1632718568,31,28
1632726255,8,9
1632772571,1543,4640
1632776184,377,0
1632782665,355,0
1632784569,29,0
1632789272,347,0
1632796325,29,23
1632801542,93,81
1632804006,19,0
1632811687,9,0
1632873126,1701,2077
1632880814,399,1033
1632884646,30,53
1632887943,134,67
1632892328,34,58
1632896405,1453,2078
1632959054,30,0
1632970566,30,26
1632973475,367,1032
1632974342,108,92
1632978250,17,29
1632986170,1490,2107
1633044007,23,59
1633055528,43,35
1633063213,32,28
1633064421,1626,1987
1633065631,338,1081
1633071130,8,19
1633132822,30,25
1633144324,28,27
1633150820,1483,1599
1633152248,30,32
1633156085,6,0
1633158260,359,698
1633218010,21,0
1633229713,31,0
1633237466,30,0
1633245129,1202,1557
1633249718,365,331
1633303684,23,32
1633317365,33,50
1633322888,1289,2208
1633328886,7,0
1633341131,351,332
1633389369,33,59
1633402816,22,35
1633408824,1964,2041
1633414565,7,8
1633433286,365,328
1633477928,29,0
1633482019,1758,2144
1633488247,33,33
1633497147,35,35
1633504325,14,29
1633525215,367,340
1633564087,25,32
1633568421,1904,2076
1633573926,34,0
1633580886,28,0
1633589285,11,26
1633617398,370,343
1633649049,28,37
1633654820,1960,1897
1633659365,28,31
1633669924,30,55
1633674967,12,0
1633708808,369,347
1633734966,34,32
1633741220,1902,1396
1633748480,33,51
1633756091,30,24
1633759925,13,29
1633800976,396,341
1633824015,22,68
1633827622,1471,1502
1633834087,37,35
1633841769,30,34
1633849449,9,55
1633892894,379,326
1633909928,27,31
1633914021,1363,1794
1633919284,28,35
1633926969,31,23
1633934886,9,14
1633985052,345,329
1633995126,34,0
1634000420,1839,1772
1634005448,36,0
1634013124,24,0
1634020803,14,0
1634077458,336,341
1634080804,22,29
1634083219,1714,2037
1634094966,33,72
1634102646,36,64
1634106483,4,15
1634170118,389,395
1634180647,2582,1825
1634188566,13,24
1634192403,10,14
1634256247,27,37
1634262281,2140,2261
1634266329,41,61
1634274005,24,0
1634281923,11,42
1634341923,24,36
1634342423,1645,1731
1634351525,25,0
1634355152,250,248
1634355874,137,101
1634359447,22,39
1634367365,10,0
1634427124,20,34
1634428820,1563,1753
1634440326,26,63
1634446812,250,247
1634447329,124,133
1634448248,21,60
1634452085,5,14
1634512803,29,0
1634526010,1578,1988
1634533925,33,18
1634537764,9,15
1634539235,250,221
1634539957,158,168
1634598017,1865,1958
1634601848,34,67
1634611445,32,33
1634619127,29,0
1634627051,11,17
1634630889,249,231
1634631608,105,119
1634680819,1567,1803
1634687528,19,28
1634696404,22,0
1634707928,33,69
1634711768,12,0
1634723048,249,247
1634723555,127,132
1634763620,1472,1753
1634773447,25,32
1634785688,33,66
1634793364,31,40
1634797204,21,10
1634814278,250,249
1634814727,126,122
1634846418,1601,1746
1634860087,26,0
1634872324,34,33
1634880007,36,0
1634883845,16,10
1634906191,349,408
1634932820,1686,1511
1634946250,22,67
1634958248,23,32
1634965927,23,62
1634969765,12,22
1634998331,363,365
1635019217,1584,1480
1635032888,28,35
1635044417,29,0
1635052325,26,19
1635056409,8,0
1635090039,389,384
1635105620,1461,1992
1635118570,19,32
1635130093,37,35
1635137765,37,0
1635145690,10,21
1635181517,250,216
1635182168,127,133
1635192021,2094,1794
1635203766,27,0
1635215286,18,54
1635222970,26,54
1635230884,17,10
1635241964,1,356
1635269552,368,0
1635274819,1596,2548
1635290169,28,37
1635302169,36,0
1635309846,26,0
1635317765,17,0
1635361949,2222,2246
1635376571,25,62
1635388329,24,61
1635396248,17,53
1635403925,11,28
1635447619,1918,1909
1635454340,346,1399
1635462726,20,0
1635474488,27,0
1635482405,23,0
1635490329,21,15
1635534019,2410,1417
1635546969,339,390
1635549606,28,35
1635561368,26,28
1635569047,20,33
1635576725,13,0
1635620419,1612,1295
1635635532,26,34
1635638442,360,355
1635647285,35,30
1635655153,35,26
1635662887,5,8
1635706821,1402,1619
1635721925,17,25
1635732008,333,331
1635733686,31,40
1635741370,24,39
1635749047,15,10
1635793220,1970,1688
1635808327,32,35
1635820085,25,24
1635823932,334,342
1635827768,24,30
1635835925,16,0
1635879618,1961,1827
1635895207,22,25
1635906730,26,36
1635914404,29,28
1635915272,337,350
1635922325,10,13
1635966021,2007,1904
1635981132,30,24
1635992887,18,30
1636000570,13,34
1636007528,341,338
1636008486,28,6
1636052420,1564,1849
1636068009,22,36
1636079771,35,26
1636087446,34,23
1636095124,13,0
1636099955,349,353
1636138820,1713,1639
1636154889,32,31
1636166408,23,58
1636174085,21,59
1636182013,22,20
1636193773,344,351
1636225219,1454,1274
1636240806,28,25
1636252570,31,28
1636260485,28,0
1636268166,22,13
1636285449,378,343
1636311619,1441,1716
1636328166,23,55
1636339210,32,0
1636347617,25,35
1636354815,14,10
1636378333,382,361
1636398018,1919,1899
1636414084,25,0
1636425127,19,27
1636433764,23,27
1636440966,18,0
1636470974,369,401
1636484420,1971,1965
1636500247,25,14
1636511288,22,56
1636519923,32,61
1636526646,23,8
1636563656,397,366
1636570820,1881,2058
1636586647,31,30
1636600084,30,32
1636606323,34,29
1636611847,15,14
1636632259,405,342
1636657221,1844,2255
1636672568,33,31
1636685529,17,0
1636692244,37,0
1636701125,21,14
1636724647,374,333
1636743620,2094,1633
1636762084,31,21
1636770728,11,32
1636781529,27,49
1636786086,21,11
1636817535,375,340
1636830018,1758,1281
1636848251,36,61
1636856170,27,22
1636868169,35,24
1636872011,15,0
1636910448,365,338
1636916418,1462,1811
1636934168,26,25
1636945689,22,59
1636953366,37,25
1636957211,15,12
1637001848,362,378
1637002819,1924,2129
1637019609,28,21
1637031126,22,0
1637038818,33,0
1637046485,16,12
1637089218,2281,2078
1637093770,370,341
1637104808,21,23
1637116571,23,25
1637124249,35,20
1637131924,22,11
1637153054,361,391
1637175621,2028,2040
1637190971,23,0
1637202729,24,30
1637210654,37,32
1637218567,17,0
1637244996,378,346
1637262018,1929,1718
1637276888,42,28
1637288650,19,55
1637300410,29,64
1637304247,28,39
1637335461,361,374
1637344819,1845,1577
1637366889,30,46
1637374569,22,0
1637386571,31,29
1637390412,28,13
1637427101,367,366
1637431220,1579,1502
1637452810,28,22
1637464568,22,60
1637472490,40,39
1637476327,21,13
1637517620,1396,2161
1637518596,360,342
1637538731,28,24
1637550489,27,18
1637558167,36,24
1637562007,12,6
1637604021,1926,2167
1637610250,348,351
1637624892,25,32
1637636889,16,26
1637644570,38,26
1637648410,17,12
1637691134,2227,2373
1637701951,348,382
1637710572,29,19
1637722330,28,36
1637730018,25,31
1637737684,16,0
1637776821,1946,2272
1637794568,350,368
1637796248,25,28
1637807951,20,18
1637815689,29,31
1637823368,21,27
1637863218,1973,2296
1637881931,24,0
1637887452,364,359
1637893687,17,0
1637905210,34,25
1637909050,6,0
1637949619,1880,1821
1637968329,23,25
1637979388,365,337
1637979851,22,37
1637991371,31,20
1637995449,17,12
1638036019,1820,1727
1638057367,21,39
1638069129,20,48
1638071558,368,346
1638076806,32,23
1638080648,20,19
1638122419,1546,2107
1638142809,24,31
1638154567,15,28
1638162728,32,24
1638163926,350,339
1638170405,10,19
1638205219,1634,2054
1638228249,25,28
1638240011,24,36
1638247688,37,31
1638255371,17,14
1638256328,372,346
1638291619,2052,2100
1638313932,24,21
1638325447,22,0
1638336971,28,25
1638340806,20,0
1638348759,372,317
1638378018,2180,2030
1638403452,24,29
1638414966,14,55
1638422646,29,25
1638426485,22,18
1638441155,364,351
1638464418,2120,1912
1638488651,22,26
1638500405,23,26
1638508089,34,29
1638515767,15,36
1638533294,368,327
1638547220,2257,1565
1638573848,24,22
1638585369,19,15
1638593048,32,18
1638602647,16,14
1638624972,369,334
1638633618,1800,1482
1638663129,21,22
1638672966,17,34
1638680416,24,38
1638688092,14,23
1638715951,246,244
1638716918,119,95
1638720018,1381,1928
1638746886,29,0
1638758404,19,0
1638769206,21,20
1638773049,14,0
1638806418,1892,2023
1638808812,241,238
1638810036,130,99
1638835686,18,64
1638843369,13,22
1638854886,30,26
1638858726,16,17
1638892820,2045,2190
1638901209,235,247
1638901930,120,120
1638921130,25,25
1638932884,17,63
1638940571,22,29
1638946330,18,12
1638979219,1657,2432
1638992897,243,228
1638993876,127,140
1639007047,17,27
1639018566,25,17
1639026253,32,22
1639034168,18,44
1639065617,2242,2388
1639085286,246,234
1639086276,121,111
1639092489,17,27
1639104262,20,17
1639112166,36,33
1639118403,13,0
1639127529,1,0
1639152019,2067,1686
1639177479,366,284
1639178166,20,0
1639190166,15,0
1639201927,34,36
1639204087,12,33
