DateTime,AddedIPs,RemovedIPs
1638759724,3,0
1638760924,6,0
1638761583,47,43
1638762724,1,0
1638763324,2,0
1638763925,1,0
1638764525,2,0
1638765182,57,55
1638765725,2,0
1638766324,3,0
1638768725,39,51
1638770525,46,41
1638771125,1,0
1638772623,5,0
1638773524,1,0
1638774124,1,0
1638774724,4,0
1638775324,1,0
1638775925,0,1
1638775981,1,0
1638777124,4,0
1638777725,23,30
1638778925,2,0
1638779477,35,33
1638780724,2,0
1638781925,1,0
1638783100,39,38
1638783725,3,0
1638784924,33,14
1638786125,2,0
1638786782,1,0
1638787924,1,0
1638788524,2,0
1638789724,1,0
1638790925,3,0
1638791524,35,29
1638792124,2,0
1638793983,30,40
1638795724,4,0
1638796325,2,0
1638796924,3,0
1638797525,5,0
1638798125,1,0
1638798724,43,42
1638799324,8,0
1638801181,39,25
1638801725,8,0
1638802324,3,0
1638802925,1,0
1638804124,4,0
1638804783,26,35
1638805325,6,0
1638807125,2,0
1638807725,22,0
1638808381,3,0
1638808926,4,0
1638809525,3,0
1638810124,34,39
1638811981,3,0
1638812525,2,0
1638813125,1,0
1638813724,32,68
1638814924,2,0
1638815582,1,0
1638816125,4,0
1638816725,1,0
1638817325,44,32
1638817925,3,1
1638818525,2,0
1638819083,28,24
1638819183,2,0
1638819725,2,0
1638820325,1,0
1638820924,3,0
1638821525,18,0
1638822124,2,0
1638823025,1,0
1638823326,3,0
1638824503,34,30
1638825725,1,0
1638826275,27,20
1638826381,1,0
1638826925,4,0
1638828125,1,0
1638829325,1,0
1638829886,27,21
1638830525,1,0
1638832925,2,0
1638833471,22,31
1638833582,2,0
1638834126,3,0
1638834725,2,0
1638835925,5,0
1638836525,2,0
1638837725,2,0
1638838925,43,28
1638840125,5,0
1638840725,4,0
1638841325,3,0
1638842525,49,32
1638843725,4,0
1638844382,26,26
1638844925,2,0
1638846125,2,0
1638847325,1,0
1638847983,38,35
1638848527,2,0
1638849125,2,0
1638849725,1,0
1638850326,1,0
1638851581,8,0
1638852724,2,0
1638853325,52,59
1638853926,7,0
1638855086,44,47
1638855183,2,0
1638856324,6,0
1638856925,1,0
1638858124,2,0
1638859027,53,36
1638859325,2,0
1638859925,1,0
1638860525,18,27
1638861125,3,0
1638862925,3,0
1638864156,29,25
1638864725,0,1
1638865982,8,0
1638867125,12,0
1638867725,6,0
1638868326,1,0
1638868925,1,0
1638870126,9,0
1638870724,4,0
1638871325,32,20
1638871925,10,0
1638873125,22,21
1638873726,2,0
1638874325,1,1
1638874924,2,0
1638876124,3,0
1638876782,20,23
1638877324,2,0
1638877924,4,0
1638880306,30,23
1638880382,2,0
1638880925,6,0
1638883869,32,27
1638883981,2,0
1638884525,4,0
1638885724,1,0
1638886326,4,0
1638887479,27,28
1638888724,4,0
1638889324,1,0
1638891181,31,29
1638894124,1,0
1638894781,27,32
1638896524,2,0
1638897127,1,0
1638897725,1,0
1638898300,29,25
1638898381,3,0
1638898926,2,1
1638900125,34,31
1638901325,7,0
1638903124,1,0
1638903725,5,0
1638904924,2,0
1638905833,2,0
1638906125,1,0
1638907324,39,31
1638907925,2,0
1638908525,2,0
1638909181,1,0
1638910324,1,0
1638910924,39,29
1638912124,4,0
1638912782,41,23
1638913924,5,0
1638914524,1,1
1638915725,1,0
1638916300,22,25
1638916382,5,0
1638917525,3,0
1638920007,28,24
1638921125,9,0
1638921725,4,0
1638922924,4,0
1638923502,46,32
1638923581,4,1
1638924126,4,0
1638924725,4,0
1638926524,2,0
1638927181,1,0
1638927725,2,0
1638928324,2,0
1638928925,48,27
1638929525,1,0
1638930125,1,0
1638930678,30,33
1638930782,1,0
1638933724,1,0
1638934302,38,43
1638934382,1,0
1638934925,2,0
1638935525,2,1
1638936124,44,38
1638936724,1,0
1638937324,4,0
1638937981,80,88
1638938525,1,0
1638939124,1,0
1638939794,36,43
1638940325,6,0
1638940924,3,0
1638941581,4,0
1638944525,1,2
1638945182,48,35
1638945725,5,0
1638946325,2,0
1638946924,24,39
1638947525,1,0
1638948125,1,0
1638949326,2,0
1638951125,1,0
