DateTime,AddedIPs,RemovedIPs
1638806650,18,13
1638806762,21,272
1638807483,21,0
1638808811,62,345
1638809282,41,114
1638810362,39,718
1638810988,29,35
1638811442,28,11924
1638811804,11863,221
1638812886,31,40
1638813243,48,59
1638814805,286,24
1638816123,100,608
1638816746,23,25
1638816843,14,0
1638818646,24,19
1638819004,75,322
1638820083,37,27
1638820820,24,26
1638821163,37,130
1638821883,25,0
1638822746,23,22
1638822964,38,163
1638823683,28,13
1638824648,35,24
1638825124,45,74
1638825843,37,0
1638826813,74,133
1638827283,19,0
1638828725,17,19
1638829083,51,88
1638829805,16,93
1638830667,18,19
1638830943,38,23
1638831243,15,0
1638832567,22,22
1638833044,76,75
1638834723,14,15
1638835322,102,188
1638836284,46,0
1638836647,405,0
1638838590,97,99
1638839523,46,60
1638840730,69,118
1638841323,38,25
1638842043,20,0
1638842887,14,27
1638843123,45,80
1638843843,27,0
1638844827,19,18
1638845643,55,116
1638846728,8,15
1638847443,59,69
1638848163,27,112
1638848887,18,10
1638849963,51,67
1638850827,11,13
1638851044,64,0
1638851764,43,101
1638852727,55,21
1638853216,49,64
1638853923,35,0
1638854646,19,24
1638855723,100,112
1638856588,13,47
1638857522,62,59
1638858486,54,17
1638858963,29,83
1638859323,11,8
1638860654,38,21
1638861482,65,57
1638862592,19,16
1638863283,72,98
1638864485,16,16
1638865084,60,68
1638866651,35,120
1638866882,22,15
1638867243,9,0
1638868809,20,23
1638869762,67,184
1638870726,8,13
1638871564,56,82
1638872684,33,17
1638874568,88,141
1638875163,21,62
1638875885,20,2
1638876726,17,778
1638878649,417,80
1638879122,33,70
1638879843,46,0
1638880591,29,23
1638880922,0,9458
1638881643,9565,0
1638882484,19,15
1638882722,32,75
1638883084,6,508
1638884662,66,110
1638885243,16,1
1638886822,74,80
1638887763,24,91
1638888968,60,18
1638889923,29,60
1638890908,40,19
1638892442,570,353
1638892807,11,9
1638893163,22,55
1638893882,25,1
1638894970,44,103
1638895742,42,25
1638896043,8,0
1638896908,19,19
1638898812,97,132
1638899644,55,20
1638900751,20,9
1638901083,304,61
1638901443,13,0
1638902646,9,15
1638904570,113,180
1638905044,21,509
1638906508,14,11
1638908408,83,160
1638908643,35,259
1638910325,20,21
1638910443,0,9234
1638911583,9158,0
1638912246,17,13
1638912963,38,118
1638913683,8,0
1638914410,19,14
1638915483,66,79
1638916324,18,15
1638916562,31,101
1638916923,16,14
1638917642,37,0
1638918269,16,15
1638919084,59,60
1638920171,12,14
1638922113,386,105
1638922322,27,88
1638922684,11,0
1638924010,55,132
1638924124,9,13
1638925323,37,75
1638926167,13,17
1638926284,35,1
1638927724,57,142
1638928327,18,12
1638928810,32,94
1638929163,16,6
1638930247,6,12
1638931442,64,107
1638932188,16,10
1638933483,313,68
1638934348,15,19
1638934923,34,95
1638936249,35,9
1638937085,54,71
1638938190,16,16
1638938523,35,123
1638939615,35,67
1638940345,11,9
1638942248,76,140
1638942482,25,0
1638942842,9,0
1638943564,26,66
1638944163,15,11
1638944283,17,0
1638945007,17,105
1638946354,33,48
1638948316,23,20
1638950284,24,12
1638950584,44,256
1638952381,24,13
1638953355,0,104
1638954833,27,21
1638955806,1,164
1638956678,14,9
1638957963,284,82
1638958566,21,13
1638958683,32,0
1638959763,53,78
1638960510,24,13
1638961323,84,40
1638962407,44,985
1638963363,28,58
1638964327,111,27
1638964443,5,0
1638966267,438,0
1638967324,79,120
1638968171,34,17
1638968763,74,40
1638969124,15,0
1638970327,72,72
1638970924,30,17
1638972489,34,19
1638972722,63,37
1638973442,20,0
1638974428,40,16
1638974643,31,319
1638976327,16,11
1638977043,64,34
1638977763,11,73
1638978549,31,16
1638978844,554,1
1638979923,27,56
1638980667,31,15
1638981363,52,77
1638982570,64,33
1638983523,52,46
1638984507,50,13
1638984605,13,66
1638986404,31,14
1638987122,328,8458
1638987844,8179,0
1638988569,26,27
1638988923,38,93
1638990724,29,18
1638992164,109,99
1638992646,25,14
1638994591,89,57
1638995042,13,0
1638995763,23,102
1638996488,18,11
1638998649,95,48
1638999063,41,56
1638999363,10,14
1639000592,65,23
1639001883,66,40
1639002485,10,20
1639002964,39,102
1639003323,6,13
1639004650,55,79
1639005483,34,0
1639006811,56,107
1639007283,21,0
1639007643,16,0
1639008980,383,48
1639009083,21,0
1639010909,266,12
1639011243,70,110
1639012322,47,45
1639012806,14,24
1639014730,104,95
1639015922,37,298
1639016666,14,19
1639017063,40,54
1639017723,23,18
1639018569,10,10
1639020508,84,57
1639020606,14,61
1639021322,28,12
1639022420,10,13
1639023123,43,60
1639023843,23,0
1639024568,15,14
1639024923,28,93
1639026010,18,50
1639026746,11,17
1639027442,46,0
1639028162,24,75
1639028647,23,14
1639030588,91,67
1639031042,16,0
1639031763,15,75
1639032487,13,17
1639032962,39,8
1639033923,36,71
1639034646,25,19
1639035723,46,70
1639036567,16,19
1639038508,107,65
1639038962,27,65
1639039683,25,9
1639040407,29,7
1639041483,67,50
1639042568,54,20
1639043284,57,49
1639043643,14,1
1639044726,41,25
1639045443,75,32
1639046164,22,59
1639046886,117,23
1639049048,155,867
1639049764,44,256
1639050967,175,40
1639051564,62,44
1639052906,491,0
1639053362,45,64
1639054083,19,6
1639054808,75,14
1639055164,32,35
1639056243,27,0
1639056747,76,12
1639056962,26,69
1639058648,106,9
1639058763,51,44
1639060589,109,8
1639060923,67,71
1639061492,509,255
1639062488,40,10
1639062722,56,34
1639063805,0,7773
1639064649,75,19
1639064942,7749,0
1639065243,9,0
1639065962,28,32
1639066829,74,20
1639067103,285,511
1639068123,32,67
1639068725,40,21
1639068843,20,0
1639069563,22,50
1639070647,41,10
1639071363,56,93
1639071723,7,0
1639072586,38,19
1639073522,47,42
1639074487,63,16
1639074964,279,46
1639075684,19,4
1639076406,27,13
1639077483,61,46
1639078347,80,27
1639078564,29,54
1639078923,23,254
1639079643,22,1
1639080247,52,21
1639080363,33,57
1639081443,42,0
1639082168,55,29
1639084108,60,85
