DateTime,AddedIPs,RemovedIPs
1638699724,1,0
1638700324,3,0
1638700925,3,1
1638701524,2,0
1638703324,3,0
1638704525,6,0
1638705123,12,0
1638705724,5,0
1638706924,8,0
1638707524,1,0
1638708724,1,0
1638709323,1,0
1638710524,15,0
1638711725,1,0
1638712324,5,0
1638712924,5,0
1638713525,3,0
1638714724,1,0
1638715924,2,0
1638716524,3,0
1638717125,2,0
1638718324,3,0
1638719524,8,0
1638720124,3,0
1638720724,4,0
1638721324,1,0
1638721924,7,0
1638723124,5,0
1638723724,1,0
1638724924,1,0
1638725524,3,0
1638726125,3,0
1638726724,2,0
1638727324,1,0
1638727925,1,0
1638728524,4,0
1638729124,2,0
1638729725,1,0
1638730924,0,1
1638731525,2,0
1638732124,2,0
1638732725,1,0
1638733325,1,0
1638734524,6,0
1638735125,3,0
1638735724,1,0
1638736325,1,0
1638736924,1,0
1638738124,5,0
1638739324,7,0
1638740525,7,0
1638741124,2,0
1638741725,2,0
1638742325,2,0
1638742924,2,0
1638743525,1,0
1638745324,2,0
1638745925,2,0
1638747725,1,0
1638748325,1,0
1638750783,3,0
1638751326,11,0
1638751924,2,0
1638754381,2,0
1638754925,1,0
1638756725,1,0
1638757324,1,0
1638759124,2,0
1638759724,3,0
1638760924,6,0
1638762724,1,0
1638763324,2,0
1638763925,1,0
1638764525,2,0
1638765182,3,0
1638765725,2,0
1638766324,3,0
1638768725,1,0
1638770525,1,1
1638771125,1,0
1638772623,5,0
1638773524,1,0
1638774124,1,0
1638774724,4,0
1638775324,1,0
1638775925,0,1
1638775981,1,0
1638777124,4,0
1638777725,2,0
1638778925,2,0
1638780724,2,0
1638781925,1,0
1638783725,3,0
1638786125,2,0
1638786782,1,0
1638787924,1,0
1638788524,2,0
1638789724,1,0
1638790925,3,0
1638791524,5,0
1638792124,2,0
1638795724,4,0
1638796325,2,0
1638796924,3,0
1638797525,5,0
1638798125,1,0
1638798724,1,0
1638799324,8,0
1638801725,8,0
1638802324,3,0
1638802925,1,0
1638804124,4,0
1638805325,6,0
1638807125,2,0
1638807725,22,0
1638808381,3,0
1638808926,4,0
1638809525,3,0
1638811981,3,0
1638812525,2,0
1638813125,1,0
1638814924,2,0
1638815582,1,0
1638816125,4,0
1638816725,1,0
1638817925,3,1
1638818525,2,0
1638819183,2,0
1638819725,2,0
1638820325,1,0
1638820924,3,0
1638821525,18,0
1638822124,2,0
1638823025,1,0
1638823326,3,0
1638825725,1,0
1638826381,1,0
1638826925,4,0
1638828125,1,0
1638829325,1,0
1638830525,1,0
1638832925,2,0
1638833582,2,0
1638834126,3,0
1638834725,2,0
1638835925,5,0
1638836525,2,0
1638837725,2,0
1638838925,2,0
1638840125,5,0
1638840725,4,0
1638841325,3,0
1638842525,1,0
1638843725,4,0
1638844925,2,0
1638846125,2,0
1638847325,1,0
1638847983,2,0
1638848527,2,0
1638849125,2,0
1638849725,1,0
1638850326,1,0
1638851581,8,0
1638852724,2,0
1638853325,4,0
1638853926,7,0
1638855183,2,0
1638856324,6,0
1638856925,1,0
1638858124,2,0
1638859325,2,0
1638859925,1,0
1638860525,1,0
1638861125,3,0
1638862925,3,0
1638864125,1,0
1638864725,0,1
1638865982,8,0
1638867125,12,0
1638867725,6,0
1638868326,1,0
1638868925,1,0
1638870126,9,0
1638870724,4,0
1638871925,10,0
1638873125,4,0
1638873726,2,0
1638874325,1,1
1638874924,2,0
1638876124,3,0
1638876782,4,0
1638877324,2,0
1638877924,4,0
1638880382,2,0
1638880925,6,0
1638883981,2,0
1638884525,4,0
1638885724,1,0
1638886326,4,0
1638888724,4,0
1638889324,1,0
1638891181,1,0
1638894124,1,0
1638894781,1,0
1638896524,2,0
1638897127,1,0
1638897725,1,0
1638898381,3,0
1638898926,2,1
1638900125,3,0
1638901325,7,0
1638903124,1,0
1638903725,5,0
1638904924,2,0
1638905833,2,0
1638906125,1,0
1638907324,5,0
1638907925,2,0
1638908525,2,0
1638909181,1,0
1638910324,1,0
1638910924,3,0
1638912124,4,0
1638912782,2,0
1638913924,5,0
1638914524,1,1
1638915725,1,0
1638916382,5,0
1638917525,3,0
1638921125,9,0
1638921725,4,0
1638922924,4,0
1638923581,4,1
1638924126,4,0
1638924725,4,0
1638926524,2,0
1638927181,1,0
1638927725,2,0
1638928324,2,0
1638929525,1,0
1638930125,1,0
1638930782,1,0
1638933724,1,0
1638934382,1,0
1638934925,2,0
1638935525,2,1
1638936124,1,0
1638936724,1,0
1638937324,4,0
1638938525,1,0
1638939124,1,0
1638939725,2,0
1638940325,6,0
1638940924,3,0
1638941581,4,0
1638944525,1,2
1638945182,1,0
1638945725,5,0
1638946325,2,0
1638946924,1,0
1638947525,1,0
1638948125,1,0
1638949326,2,0
1638951125,1,0
1638952325,1,0
1638953525,1,0
1638954725,2,0
1638955325,1,0
1638960724,2,0
1638963125,2,1
1638964924,3,0
1638965525,3,0
1638966124,3,0
1638967325,2,0
1638968524,1,0
1638969725,2,0
1638970924,1,0
1638971525,2,0
1638972124,1,1
1638973325,1,0
1638975125,1,0
1638975724,1,0
1638977524,1,0
1638978426,1,0
1638978724,1,0
1638979924,1,0
1638981725,2,0
1638982324,2,0
1638982924,1,0
1638984124,2,0
1638984724,2,0
1638985325,2,0
1638987725,2,0
1638988325,4,0
1638991325,1,0
1638992525,1,0
1638994925,2,0
1638995581,1,0
1638996124,1,0
1638998525,3,0
1638999725,1,0
1639000924,2,0
1639002124,1,0
1639003325,1,0
1639005125,1,0
1639007525,1,0
1639008725,4,0
1639009324,2,0
1639011125,6,0
1639011724,2,0
1639015325,2,0
1639017725,2,0
1639018325,2,0
1639018924,1,0
1639019525,5,2
1639020125,10,0
1639021325,4,0
1639021925,1,0
1639022524,2,0
1639023125,1,0
1639024381,2,0
1639025525,6,0
1639026124,4,0
1639028526,2,1
1639029126,2,0
1639031582,2,0
1639032124,2,0
1639033925,5,0
1639034525,1,0
1639035725,1,0
1639037527,1,0
1639038126,1,0
1639039925,1,0
1639040525,2,0
1639043525,1,0
1639044124,1,0
1639045325,1,0
1639048325,1,0
1639049581,1,0
1639052525,1,0
1639053725,3,0
1639054324,1,0
1639055526,2,0
1639056124,4,0
1639057325,6,0
1639057924,3,0
1639058524,2,0
1639059724,2,0
1639060925,2,0
1639062125,1,0
1639062726,1,0
1639063324,2,0
1639063924,1,0
1639063983,1,0
1639064525,1,0
1639065124,3,0
1639065724,2,0
1639066324,1,0
1639067827,2,0
1639068125,1,0
1639071430,3,0
1639071724,1,0
1639072324,3,0
1639072924,2,0
1639073525,2,0
1639074782,1,0
1639075324,1,0
1639076524,2,0
1639077724,4,0
1639078383,5,0
1639078924,1,0
1639080125,5,0
1639081324,2,0
1639081981,1,0
1639082525,1,0
1639083724,1,0
1639084325,5,0
1639087926,1,0
1639089181,2,0
1639089725,1,0
1639090324,2,0
1639090924,1,0
1639092782,1,0
1639093325,1,0
1639093924,3,0
1639095124,1,0
1639095724,1,0
1639096925,1,0
1639099981,1,0
1639101724,1,0
1639103525,1,0
1639104724,4,0
1639105324,2,0
1639105924,1,0
1639108324,3,0
1639108924,1,0
1639110124,1,0
1639110783,2,1
1639112524,2,0
1639113125,1,0
1639114925,1,0
1639115525,2,0
1639116124,1,0
1639119124,1,0
1639121581,4,0
1639122724,1,0
1639124524,2,0
1639127524,0,2
1639128124,1,0
1639128781,1,0
1639129325,1,0
1639129924,2,0
1639130524,1,0
1639132925,2,0
1639134124,1,0
1639135324,2,0
1639135924,2,0
1639138924,2,0
1639140724,1,0
1639141324,1,0
1639143724,3,0
1639145525,1,0
1639146123,1,0
1639148524,1,0
1639150924,1,0
1639152124,5,0
1639153324,1,0
1639156325,1,0
1639158724,2,0
1639159324,5,0
1639159925,1,0
1639160524,2,0
1639161125,2,0
1639162324,3,0
1639164124,1,0
1639164724,1,0
1639166524,1,0
1639167725,3,0
1639169234,1,0
1639169524,3,0
1639170725,2,0
1639171324,1,0
1639171925,2,0
1639173124,1,2
1639173724,3,0
1639175524,1,0
1639176125,2,0
1639176724,1,0
1639178524,2,0
1639179125,2,0
1639179724,2,0
1639180324,14,0
1639181525,3,1
1639182124,3,0
1639182725,4,0
1639183924,7,0
1639184524,16,0
1639185725,15,0
1639186324,4,0
1639188125,1,0
1639189325,10,0
1639189924,3,0
1639190524,5,0
1639191124,10,0
1639191725,8,0
1639192326,1,0
1639192924,6,0
1639194124,1,0
1639195324,4,0
1639197725,2,0
1639198924,5,0
1639199526,2,0
1639200124,2,0
1639200725,16,1
1639201326,3,0
1639201925,2,0
1639202525,3,0
1639203125,3,0
1639203724,1,0
1639204381,1,0
