DateTime,Entries,UniqueIPs
1638235950,2435,2435
1638237848,2432,2432
1638240014,2416,2416
1638241944,2408,2408
1638243850,2406,2406
1638245766,2410,2410
1638247717,2408,2408
1638249604,2403,2403
1638251530,2406,2406
1638253467,2401,2401
1638255375,2415,2415
1638257307,2423,2423
1638259212,2426,2426
1638261130,2438,2438
1638263070,2442,2442
1638264971,2442,2442
1638267131,2450,2450
1638269286,2470,2470
1638271446,1488,1488
1638273366,1482,1482
1638275308,2097,2097
1638277212,2090,2090
1638279125,2101,2101
1638281068,2107,2107
1638282968,2122,2122
1638285125,2126,2126
1638287287,2137,2137
1638289205,2133,2133
1638291147,2129,2129
1638293048,2115,2115
1638294988,2122,2122
1638296885,2123,2123
1638298813,2137,2137
1638300747,2137,2137
1638302651,2131,2131
1638304588,2129,2129
1638306488,2118,2118
1638308405,2114,2114
1638310348,2101,2101
1638312249,2091,2091
1638314429,2083,2083
1638316324,2067,2067
1638318245,2573,2573
1638320057,2562,2562
1638322105,2561,2561
1638324012,2564,2564
1638325946,2563,2563
1638327850,2564,2564
1638329790,2570,2570
1638331684,2571,2571
1638333628,2566,2566
1638335525,2550,2550
1638337470,2554,2554
1638339367,2559,2559
1638341305,2580,2580
1638343224,2575,2575
1638345125,2577,2577
1638347068,2581,2581
1638349205,2573,2573
1638351150,2604,2604
1638353050,2607,2607
1638354986,2618,2618
1638357144,1732,1732
1638359049,1748,1748
1638360966,2184,2184
1638362907,2197,2197
1638364805,2200,2200
1638366724,2195,2195
1638368668,2195,2195
1638371525,2205,2205
1638373445,2226,2226
1638375363,2230,2230
1638377309,2246,2246
1638379112,2246,2246
1638381145,2249,2249
1638383047,2275,2275
1638384963,2284,2284
1638386905,2290,2290
1638388804,2302,2302
1638390746,2303,2303
1638392646,2316,2316
1638394584,2342,2342
1638396484,2351,2351
1638398427,2358,2358
1638400323,2354,2354
1638402246,2361,2361
1638404186,2732,2732
1638406083,2746,2746
1638408025,2746,2746
1638409923,2746,2746
1638411846,2746,2746
1638413788,2756,2756
1638415686,2754,2754
1638417631,2763,2763
1638419537,2761,2761
1638421471,2772,2772
1638423368,2776,2776
1638425305,2785,2785
1638427468,2799,2799
1638429367,2802,2802
1638432246,2795,2795
