DateTime,AddedIPs,RemovedIPs
1631859128,14,10
1631874006,16,5
1631888645,11,9
1631903285,12,4
1631917926,19,7
1631932578,10,8
1631947206,10,13
1631961852,13,9
1631976500,3,13
1631991142,8,11
1632006025,14,11
1632020650,14,10
1632035540,10,13
1632050166,8,3
1632064821,8,4
1632079459,10,7
1632094101,34,7
1632108727,7,8
1632123368,5,11
1632138250,31,7
1632152885,43,6
1632167542,12,6
1632182167,3,7
1632196805,10,7
1632211460,5,7
1632226101,12,8
1632240725,12,14
1632255372,4,6
1632270007,15,10
1632284664,9,15
1632299304,1,6
1632313943,8,17
1632328569,7,9
1632343450,10,7
1632358092,10,17
1632372727,7,13
1632387365,4,16
1632402031,10,13
1632416665,5,9
1632431527,5,10
1632446192,6,8
1632460811,5,5
1632475448,8,5
1632490332,6,12
1632505208,8,3
1632519846,7,5
1632534488,13,3
1632549145,5,2
1632563767,12,10
1632578413,3,4
1632593046,8,10
1632607690,11,9
1632622571,10,12
1632637226,5,10
1632651865,8,9
1632666728,6,10
1632681455,11,4
1632696246,5,8
1632710888,4,8
1632725527,23,8
1632740409,7,14
1632755046,3,10
1632769942,9,12
1632784571,12,10
1632799205,10,8
1632813866,7,2
1632828724,7,5
1632843386,6,28
1632858024,13,5
1632872649,4,10
1632887288,6,6
1632901925,14,8
1632916566,4,10
1632931215,12,6
1632945848,4,7
1632960554,11,17
1632975210,5,8
1632989783,7,5
1633004646,10,8
1633019523,8,1
1633034186,8,7
1633048805,9,8
1633063707,8,11
1633078344,4,9
1633093064,7,6
1633107848,7,5
1633122502,3,12
1633137144,3,12
1633152024,4,8
1633166667,2,10
1633181303,15,3
1633195945,1,19
1633210569,26,3
1633225227,6,5
1633239847,2,8
1633254485,6,5
1633269141,4,10
1633283765,9,8
1633298669,12,5
1633313548,12,7
1633328166,9,3
1633342804,6,4
1633357444,13,6
1633372108,9,9
1633386745,2,5
1633401389,6,1
1633416009,7,10
1633430670,10,8
1633445526,3,9
1633460166,2,11
1633474827,8,5
1633489449,4,4
1633504328,4,9
1633518968,6,5
1633533606,5,4
1633548247,7,12
1633563136,3,9
1633577769,2,15
1633592426,5,4
1633607069,1,6
1633621710,5,4
1633636325,3,4
1633650989,3,10
1633665640,4,13
1633680696,2,11
1633695609,7,4
1633710248,7,12
1633724939,7,5
1633739547,3,3
1633754168,28,5
1633768805,4,9
1633783467,2,10
1633798087,2,8
1633812727,4,6
1633827366,3,9
1633842246,4,2
1633856888,7,3
1633871765,1,10
1633886409,2,7
1633901286,2,4
1633915949,7,4
1633930570,7,6
1633945233,4,8
1633959847,2,3
1633974487,3,8
1633989146,5,9
1634003767,3,9
1634018404,3,7
1634033046,2,6
1634047932,3,7
1634062565,2,10
1634077447,3,10
1634092105,3,9
1634106747,2,3
1634121371,2,3
1634136005,2,14
1634150671,0,12
1634165288,8,11
1634179948,0,13
1634194819,1,16
1634209693,4,15
1634224349,3,9
1634238966,3,12
1634253625,2,13
1634268267,3,4
1634282907,2,8
1634297552,1,14
1634312407,3,10
1634327044,2,14
1634341924,4,19
1634356585,7,16
1634371240,2,8
1634385847,4,8
1634400726,6,5
1634415385,5,12
1634430006,2,8
1634444646,0,9
1634459525,2,13
1634474169,7,9
1634488828,11,8
1634503447,4,10
1634518327,0,12
1634532965,5,11
1634547604,1,18
1634562266,2,14
1634577126,2,7
1634591786,4,14
1634606404,5,9
1634621048,5,10
1634635925,3,9
1634650588,3,9
1634665207,3,7
1634679867,2,15
1634694486,2,6
1634709365,1,12
1634724011,11,5
1634738648,7,13
1634753286,1,26
1634767950,4,16
1634782806,6,16
1634797468,1,13
1634812324,3,16
1634827210,0,18
1634841849,3,12
1634856505,3,10
1634871148,3,10
1634885789,4,7
1634900429,2,14
1634915052,3,16
1634929924,1,8
1634944587,3,3
1634959207,6,17
1634973869,2,11
1634988505,3,13
1635003147,3,6
1635017777,2,7
1635032404,6,7
1635047046,6,9
1635061685,3,5
1635076346,3,10
1635091208,2,9
1635105846,7,10
1635120484,3,10
1635135125,2,10
1635149788,3,8
1635164645,2,7
1635179304,3,9
1635193923,5,12
1635208590,1,15
1635223455,7,16
1635238334,3,10
1635252967,2,10
1635267606,3,16
1635282272,2,9
1635297125,1,9
1635311765,6,12
1635326410,0,15
1635341070,2,9
1635355866,4,12
1635370588,2,9
1635385226,0,14
1635399845,2,4
1635414725,1,15
1635429366,5,10
1635444017,1,7
1635458673,6,7
1635473525,2,8
1635488359,5,10
1635503045,4,5
1635517924,3,5
1635532593,5,8
1635547469,4,5
1635562084,1,10
1635576729,0,13
1635591368,2,8
1635606246,4,9
1635621130,3,9
1635636036,5,20
1635650648,2,9
1635665308,1,17
1635679927,3,8
1635694588,6,7
1635709721,3,5
1635724325,1,5
1635738965,0,7
1635753604,3,6
1635768508,2,9
1635783573,5,9
1635798243,6,11
1635812908,3,6
1635827527,4,6
1635842169,4,7
1635856828,2,17
1635871698,3,10
1635886565,7,5
1635901231,5,18
1635915868,2,14
1635930485,3,16
1635945373,3,6
1635960309,2,7
1635975124,8,15
1635989791,5,14
1636004674,1,13
1636019285,3,6
1636034165,4,5
1636048799,1,4
1636063447,0,10
1636078089,1,12
1636092750,2,10
1636107386,3,17
1636122005,0,8
1636136917,8,11
1636151754,5,6
1636166412,4,8
1636181048,2,6
1636195706,3,9
1636210325,1,14
1636224965,2,14
1636239621,1,20
1636254247,1,9
1636268890,4,12
1636283793,1,13
1636313045,8,30
1636327707,1,12
1636342347,4,9
1636356971,5,13
1636371576,7,9
1636386245,0,7
1636401189,1,12
1636415765,3,20
1636430428,0,13
1636445067,1,15
1636459924,1,9
1636474866,3,11
1636489446,0,13
1636504109,2,6
1636518724,1,6
1636533388,1,3
1636548004,0,22
1636563188,3,16
1636577765,2,10
1636592415,3,21
1636607060,3,11
1636621686,1,17
1636636323,0,16
1636650986,2,11
1636665631,4,10
1636680268,4,10
1636695127,1,15
1636709770,3,8
1636724429,0,11
1636739071,3,9
1636753683,2,7
1636768565,1,8
1636783212,10,8
1636797870,4,6
1636812748,0,6
1636827364,4,7
1636842026,5,8
1636856646,4,8
1636871287,3,9
1636885925,0,9
1636900568,2,5
1636915206,5,6
1636929870,0,7
1636944506,4,5
1636959151,0,12
1636973769,2,8
1636988417,4,12
1637003068,3,10
1637017924,2,6
1637032568,4,6
1637047226,0,9
1637061856,0,5
1637076507,1,7
1637091146,1,3
1637106008,0,4
1637120648,4,0
1637135528,0,3
1637150187,25,2
1637164846,1,6
1637179448,1,5
1637194106,2,3
1637208747,4,6
1637223391,3,8
1637238009,1,6
1637252648,3,5
1637267308,1,7
1637281945,6,6
1637296572,3,7
1637311230,0,8
1637325845,2,7
1637340507,0,6
1637355141,3,8
1637369766,0,6
1637384413,3,15
1637399047,0,8
1637413684,2,13
1637428346,2,9
1637442985,2,11
1637457847,2,17
1637472517,2,8
1637487146,4,5
1637501790,3,4
1637516430,1,5
1637531051,0,4
1637545709,0,6
1637560346,2,4
1637574968,11,7
1637589615,2,4
1637604271,2,4
1637619124,0,14
1637633786,1,2
1637648414,3,3
1637663046,3,6
1637677946,0,8
1637692567,2,7
1637707204,7,3
1637721845,4,14
1637736506,1,8
1637751147,2,5
1637765787,2,13
1637780410,1,5
1637795287,1,9
1637809924,1,7
1637824566,4,5
1637839205,3,9
1637853846,27,4
1637868729,5,5
1637883611,5,5
1637898249,1,8
1637913127,4,7
1637927766,2,6
1637942439,1,4
1637957286,0,7
1637971927,1,9
1637986567,2,3
1638001205,0,6
1638015848,3,22
1638030507,1,9
1638045124,3,15
1638059787,2,7
1638074428,5,18
1638089044,3,11
1638103712,1,5
1638118326,2,10
1638132965,5,12
1638147652,4,10
1638162247,1,3
1638177127,1,8
1638191789,2,12
1638206426,2,9
1638221046,3,9
1638235685,0,9
1638250325,3,7
1638264969,1,19
1638279626,0,12
1638294272,6,14
1638308907,1,35
1638323556,0,7
1638338186,1,19
1638353048,2,12
1638367952,18,21
1638382584,2,17
1638397206,3,25
1638411846,2,10
1638426489,1,16
1638441149,3,6
1638455789,1,19
1638470427,7,15
1638485069,4,25
1638499930,7,20
1638514814,2,13
