DateTime,Entries,UniqueIPs
1638579124,5169,5381
1638580925,5165,5377
1638581524,5161,5373
1638582724,5160,5372
1638585125,5159,5371
1638586924,5156,5368
1638588725,5154,5366
1638589325,5153,5365
1638590524,5148,5361
1638591724,5149,5362
1638592925,5153,5366
1638594124,5151,5364
1638594724,5151,5364
1638596524,5152,5365
1638597124,5151,5364
1638597724,5148,5361
1638598324,5151,5364
1638599525,5149,5364
1638600723,5148,5363
1638602524,5153,5368
1638603725,5150,5365
1638604323,5151,5366
1638605525,5190,5406
1638606124,5192,5408
1638607325,5193,5409
1638607925,5192,5408
1638608524,5191,5407
1638609724,5197,5413
1638612124,5198,5412
1638613924,5204,5418
1638614524,5205,5419
1638615724,5207,5421
1638616924,5210,5424
1638618124,5207,5421
1638619323,5205,5419
1638619924,5207,5420
1638622324,5206,5419
1638623525,5204,5417
1638624725,5206,5419
1638625324,5204,5417
1638625924,5207,5420
1638626524,5206,5419
1638627125,5206,5419
1638628325,5209,5422
1638628924,5210,5423
1638629524,5204,5417
1638630725,5203,5416
1638631325,5202,5415
1638631925,5225,5440
1638633724,5224,5439
1638635524,5218,5433
1638636724,5219,5434
1638638524,5220,5435
1638639124,5219,5434
1638639725,5217,5432
1638640925,5218,5433
1638643326,5217,5432
1638645125,5218,5433
1638646324,5218,5433
1638646925,5218,5433
1638648125,5221,5436
1638648725,5222,5437
1638649324,5223,5438
1638649924,5223,5438
1638651725,5224,5439
1638652324,5226,5441
1638652925,5228,5443
1638654125,5228,5443
1638655925,5229,5444
1638658324,5229,5444
1638659525,5221,5436
1638660725,5221,5436
1638661924,5222,5437
1638662525,5224,5439
1638664325,5256,5471
1638664925,5258,5473
1638665525,5259,5474
1638666124,5260,5475
1638666725,5258,5473
1638669124,5256,5471
1638670325,5255,5470
1638671525,5252,5467
1638672125,5254,5469
1638672725,5253,5468
1638673925,5242,5457
1638676324,5243,5458
1638678125,5242,5457
1638679924,5242,5457
1638680525,5244,5460
1638681724,5244,5460
1638683525,5243,5459
1638685325,5241,5457
1638687125,5240,5456
1638689524,5238,5454
1638690724,5176,5390
1638691324,5174,5388
1638692524,5173,5387
1638693725,5173,5387
1638694325,5171,5385
1638695525,5170,5384
1638696124,5198,5413
1638696725,5199,5414
1638701524,5194,5409
1638706924,5195,5410
1638708125,5192,5407
1638710524,5192,5407
1638714724,5193,5408
1638715924,5185,5400
1638717724,5183,5398
1638718324,5184,5399
1638719524,5181,5396
1638720124,5179,5394
1638720724,5181,5396
1638721924,5187,5403
1638723124,5187,5403
1638723724,5186,5402
1638724924,5188,5404
1638726724,5189,5405
1638727925,5190,5406
1638728524,5191,5408
1638729124,5190,5406
1638729725,5191,5408
1638730324,5189,5406
1638732124,5184,5401
1638732725,5185,5402
1638733325,5185,5403
1638735125,5186,5404
1638736924,5187,5405
1638737524,5190,5408
1638738724,5195,5413
1638741124,5193,5411
1638742325,5195,5413
1638742924,5196,5414
1638744725,5192,5410
1638745925,5194,5412
1638747124,5193,5411
1638748325,5191,5409
1638749524,5191,5409
1638750725,5193,5411
1638751326,5192,5410
1638752525,5193,5411
1638754325,5195,5413
1638754925,5194,5412
1638755524,5195,5413
1638758525,5194,5412
1638759724,5193,5411
1638761524,5191,5409
1638762724,5187,5406
1638764524,5185,5404
1638766924,5183,5403
1638768124,5183,5403
1638769325,5184,5404
1638770525,5183,5403
1638771724,5184,5404
1638772325,5187,5406
1638772925,5185,5403
1638774124,5184,5402
1638774724,5181,5399
1638775925,5182,5400
1638777124,5186,5403
1638778325,5185,5402
1638782524,5185,5403
1638783124,5186,5404
1638786124,5186,5404
1638787924,5187,5405
1638788524,5188,5406
1638789724,5189,5407
1638792725,5190,5408
1638796325,5189,5407
1638799926,5188,5406
1638800525,5187,5405
1638803524,5189,5407
1638805325,5190,5408
1638807125,5181,5399
1638808325,5175,5393
1638808926,5177,5395
1638811926,5177,5396
1638813125,5174,5393
1638813724,5172,5391
1638816125,5174,5393
1638816725,5172,5391
1638817925,5173,5392
1638819725,5174,5393
1638820924,5175,5394
1638821525,5172,5392
1638822725,5173,5393
1638823925,5174,5394
1638824525,5175,5395
1638826326,5173,5396
1638829925,5167,5390
1638831125,5168,5391
1638834126,5169,5392
1638834725,5168,5393
1638835925,5167,5392
1638837725,5168,5393
1638838325,5167,5392
1638840125,5167,5392
1638841325,5166,5391
1638845524,5165,5390
1638846726,5160,5385
1638847325,5158,5383
1638849725,5155,5380
1638850925,5153,5378
1638852724,5154,5379
1638853325,5153,5378
1638855125,5153,5378
1638856324,5155,5380
1638858726,5153,5378
1638859325,5154,5379
1638860525,5155,5380
1638861125,5156,5381
1638862925,5158,5387
1638863524,5155,5384
1638865325,5156,5385
1638865925,5156,5385
1638867725,5154,5383
1638869526,5156,5385
1638871925,5154,5383
1638873125,5154,5386
1638874325,5151,5383
1638874924,5153,5385
1638876124,5151,5383
1638877924,5154,5386
1638878525,5153,5385
1638880925,5144,5375
1638882124,5142,5373
1638883925,5133,5364
1638885724,5130,5361
1638888125,5117,5348
1638891125,5118,5349
1638893525,5119,5350
1638894725,5120,5351
1638897127,5121,5352
1638898926,5122,5353
1638901325,5123,5354
1638902525,5122,5352
1638903725,5120,5350
1638904326,5119,5349
1638906725,5116,5346
1638907324,5117,5347
1638908525,5117,5347
1638909725,5118,5348
1638910924,5117,5347
1638911525,5118,5348
1638912124,5118,5348
1638913325,5117,5347
1638913924,5115,5345
1638915725,5114,5346
1638917525,5112,5344
1638920526,5107,5339
1638921125,5148,5383
1638921725,5151,5386
1638924126,5149,5384
1638927124,5146,5381
1638929525,5142,5377
1638930725,5137,5372
1638933724,5138,5373
1638935525,5136,5371
1638936124,5109,5343
1638938525,5110,5344
1638939124,5109,5343
1638940325,5108,5342
1638943925,5104,5338
1638945725,5104,5339
1638946325,5103,5338
1638946924,5101,5336
1638948125,5101,5336
1638949326,5102,5338
1638949925,5100,5336
1638951125,5101,5337
1638951724,5103,5339
1638952325,5102,5338
1638953525,5103,5339
1638954725,5100,5336
1638955325,5097,5333
1638958325,5095,5331
1638959525,5094,5330
1638960125,5093,5329
1638961925,5091,5327
1638963125,5092,5328
1638965525,5095,5331
1638966124,5094,5330
1638967325,5093,5329
1638969725,5091,5327
1638971525,5094,5330
1638972124,5093,5329
1638973325,5094,5330
1638973924,5093,5329
1638975125,5091,5327
1638975724,5089,5325
1638977524,5089,5324
1638978125,5092,5327
1638978724,5093,5328
1638979924,5090,5324
1638980525,5090,5324
1638981724,5091,5325
1638982924,5092,5326
1638983525,5080,5314
1638984724,5079,5313
1638987725,5079,5314
1638989524,5080,5315
1638990725,5079,5313
1638994325,5079,5313
1638994924,5078,5312
1638995525,5077,5311
1638996124,5079,5313
1638997324,5078,5312
1638999125,5073,5307
1639000924,5074,5308
1639001526,5073,5307
1639002725,5071,5305
1639003325,5070,5304
1639003924,5069,5303
1639005724,5068,5302
1639007525,5064,5298
1639008725,5067,5301
1639009324,5069,5303
1639009925,5070,5304
1639011125,5076,5309
1639011724,5078,5311
1639012325,5077,5310
1639015325,5081,5314
1639016525,5077,5310
1639017725,5078,5311
1639018325,5073,5306
1639019525,5079,5312
1639020125,5086,5319
1639020724,5089,5322
1639022524,5090,5323
1639024325,5093,5326
1639025525,5097,5330
1639026124,5102,5335
1639026725,5101,5334
1639027925,5100,5333
1639028526,5103,5336
1639029126,5102,5335
1639030925,5099,5332
1639031525,5100,5332
1639032124,5100,5333
1639033925,5107,5340
1639035725,5107,5340
1639036925,5108,5341
1639038126,5110,5343
1639038725,5111,5344
1639039326,5109,5341
1639039925,5110,5342
1639040525,5110,5342
1639042324,5107,5339
1639044124,5108,5340
1639045325,5104,5336
1639046526,5102,5334
1639047724,5101,5333
1639051925,5100,5332
1639053125,5100,5332
1639053725,5102,5334
1639054324,5103,5335
1639056124,5103,5335
1639056725,5097,5329
1639057325,5103,5335
1639057924,5106,5339
1639058524,5108,5341
1639059125,5109,5342
1639060925,5110,5343
1639061524,5109,5342
1639062726,5110,5343
1639063924,5111,5344
1639064525,5112,5345
1639065124,5115,5348
1639066324,5114,5347
1639067525,5115,5348
1639068724,5113,5344
1639070524,5116,5347
1639072324,5117,5348
1639072924,5119,5350
1639074724,5120,5351
1639075324,5121,5352
1639076524,5120,5351
1639077724,5122,5353
1639078325,5127,5358
1639080125,5129,5360
1639081324,5131,5362
1639081925,5132,5363
1639082525,5132,5363
1639084325,5134,5365
1639086125,5134,5365
1639086724,5135,5366
1639088524,5134,5365
1639089125,5136,5369
1639090324,5139,5372
1639091524,5138,5371
1639092124,5137,5370
1639093325,5137,5371
1639093924,5137,5371
1639094524,5135,5369
1639095724,5130,5364
