DateTime,AddedIPs,RemovedIPs
1638666725,1,4
1638667924,1,33
1638669124,5,39
1638670325,0,2
1638670924,0,2
1638672125,2,0
1638673925,2,1
1638675725,0,1
1638676324,1,0
1638678125,1,0
1638679324,1,0
1638679924,4,0
1638680525,4,0
1638681724,1,4
1638683525,3,3
1638685325,0,2
1638690724,2,1
1638691324,2,3
1638692524,0,1
1638693725,1,0
1638694325,0,3
1638695525,0,1
1638696124,46,0
1638696725,1,0
1638698524,0,2
1638700324,0,1
1638701524,0,4
1638703324,0,7
1638706924,1,0
1638707524,0,1
1638708125,0,1
1638710524,1,0
1638711124,0,2
1638714124,0,1
1638714724,1,0
1638715924,1,3
1638717125,0,3
1638718324,1,0
1638719524,0,1
1638720124,0,2
1638720724,2,0
1638721924,10,1
1638723124,1,1
1638723724,0,2
1638724924,2,1
1638726125,0,2
1638726724,2,0
1638727925,1,0
1638728524,2,0
1638729124,1,0
1638729725,2,0
1638732725,1,0
1638733325,1,0
1638733924,0,3
1638735125,1,4
1638735724,1,0
1638736324,0,8
1638736924,3,0
1638737524,4,0
1638738724,6,8
1638739925,1,0
1638741124,2,3
1638742325,3,2
1638742924,1,0
1638744725,1,2
1638745925,2,2
1638747124,0,4
1638747725,1,0
1638748325,0,2
1638749524,2,0
1638750725,2,3
1638751326,1,0
1638751924,0,2
1638752525,2,0
1638753724,1,7
1638754325,2,0
1638754925,1,1
1638755524,1,4
1638756725,0,3
1638757924,0,4
1638758525,3,2
1638759724,1,3
1638761524,1,5
1638762724,3,5
1638764524,0,3
1638766924,2,4
1638768124,1,4
1638769325,1,0
1638769924,1,1
1638770525,0,1
1638771724,3,4
1638772325,3,3
1638774124,1,0
1638774724,1,1
1638775925,1,0
1638777124,5,0
1638778325,0,1
1638780724,0,5
1638781324,0,2
1638782524,1,2
1638783124,1,5
1638784924,0,1
1638786124,2,2
1638787325,1,2
1638787924,1,0
1638788524,2,5
1638789126,1,0
1638789724,1,0
1638790925,0,2
1638792725,3,1
1638795124,1,0
1638796325,1,0
1638798125,0,2
1638799926,0,2
1638800525,0,2
1638802324,1,0
1638803524,2,0
1638805325,4,3
1638805925,1,3
1638808325,1,4
1638808926,2,0
1638809525,1,7
1638810725,0,3
1638811926,1,0
1638813125,1,1
1638816125,3,2
1638817925,2,0
1638819125,1,5
1638819725,3,2
1638820924,2,1
1638821525,1,0
1638822725,2,1
1638823925,1,1
1638824525,1,0
1638825725,1,0
1638826326,2,0
1638827525,1,2
1638829325,1,0
1638829925,1,1
1638831125,2,0
1638831725,0,6
1638832925,0,1
1638833525,2,0
1638834126,3,0
1638834725,2,0
1638835925,3,0
1638836525,1,0
1638837725,2,0
1638840125,2,4
1638840725,3,0
1638841325,3,2
1638841925,2,0
1638842525,1,0
1638843725,0,1
1638844325,1,0
1638845524,3,1
1638846125,1,0
1638846726,0,1
1638847325,0,7
1638847925,1,0
1638849725,3,2
1638850925,2,1
1638851525,0,4
1638852724,2,0
1638853926,0,7
1638855125,1,2
1638856324,2,0
1638856925,0,2
1638858124,1,0
1638858726,1,1
1638859325,5,0
1638860525,2,2
1638861125,4,0
1638862925,11,2
1638863524,2,0
1638864125,0,2
1638865325,4,10
1638865925,1,0
1638867725,0,3
1638868325,1,1
1638869526,3,0
1638870724,0,1
1638871925,0,2
1638873125,5,0
1638874325,3,0
1638874924,2,0
1638876124,0,1
1638877924,3,0
1638878525,0,1
1638880925,3,1
1638883925,0,4
1638885724,1,0
1638886326,0,2
1638888724,0,3
1638891125,1,0
1638892325,4,4
1638893525,1,2
1638894725,1,1
1638895925,0,2
1638896524,0,3
1638897127,2,1
1638898926,2,0
1638900725,0,2
1638901325,1,0
1638902525,1,2
1638903725,0,3
1638904326,0,1
1638905524,0,2
1638907324,1,0
1638908525,1,3
1638909125,0,5
1638909725,2,0
1638910924,0,1
1638911525,2,0
1638912124,2,2
1638913325,0,1
1638913924,1,1
1638915125,0,2
1638915725,1,0
1638916325,0,3
1638917525,1,3
1638918125,1,0
1638920526,0,5
1638921125,52,0
1638921725,4,1
1638924126,5,3
1638925324,1,5
1638925926,0,4
1638927124,0,2
1638927725,1,0
1638929525,1,0
1638930725,1,0
1638931325,0,1
1638931925,0,1
1638933724,3,0
1638935525,1,0
1638936724,1,2
1638937324,0,2
1638938525,2,2
1638939124,0,1
1638940325,3,6
1638940924,0,1
1638942724,1,3
1638943925,0,3
1638945725,2,1
1638946325,1,1
1638946924,0,1
1638948125,1,0
1638949326,3,1
1638949925,0,1
1638951125,1,3
1638951724,2,0
1638952325,1,1
1638953525,1,0
1638955924,0,2
1638957725,1,1
1638959525,2,6
1638960125,0,1
1638963125,2,0
1638963725,0,1
1638965525,3,0
1638966124,2,2
1638966724,0,1
1638967325,1,0
1638970924,1,6
1638971525,4,3
1638972124,0,1
1638973325,2,0
1638975125,0,1
1638975724,2,1
1638977524,1,1
1638978125,5,0
1638978724,3,1
1638979924,1,1
1638980525,1,0
1638981124,0,4
1638981724,1,0
1638982324,0,2
1638982924,2,0
1638983525,0,1
1638984724,0,2
1638987725,3,5
1638989524,1,0
1638990725,0,3
1638991924,0,3
1638993124,0,1
1638994325,2,1
1638995525,0,1
1638996124,2,47
1638997324,1,5
1638999125,0,1
1639000325,1,0
1639000924,1,1
1639001526,1,1
1639003325,0,1
1639003924,1,0
1639005125,3,3
1639006325,0,2
1639007525,4,0
1639008124,0,2
1639008725,4,0
1639009324,4,0
1639009925,1,1
1639011125,7,0
1639011724,2,0
1639012325,1,0
1639012925,0,1
1639015325,6,7
1639017725,2,0
1639019525,7,0
1639020125,8,0
1639020724,4,5
1639022524,2,1
1639023125,0,1
1639024325,3,0
1639025525,6,2
1639026124,6,0
1639026725,1,2
1639027925,1,0
1639028526,4,0
1639029126,2,0
1639029724,0,2
1639030925,1,0
1639031525,2,0
1639032124,2,0
1639033925,7,0
1639034525,2,0
1639035725,2,0
1639036325,1,0
1639036925,1,2
1639038126,3,0
1639038725,1,1
1639039925,1,2
1639040525,1,3
1639042324,6,2
1639044124,1,0
1639045325,2,0
1639045924,0,4
1639046526,0,1
1639050125,0,2
1639053125,2,0
1639053725,2,0
1639054324,1,0
1639056124,3,0
1639057325,6,0
1639057924,4,0
1639058524,2,0
1639059125,1,1
1639060925,3,5
1639061524,0,2
1639062726,3,5
1639063924,2,4
1639064525,1,0
1639065124,3,5
1639066324,2,0
1639066924,0,26
1639067525,1,0
1639068724,0,1
1639069324,0,2
1639070524,5,2
1639072324,3,2
1639072924,2,1
1639073524,1,0
1639074724,1,0
1639075324,1,0
1639077724,2,0
1639078325,5,3
1639080125,6,3
1639081324,4,0
1639081925,3,6
1639082525,1,0
1639083124,1,35
1639084325,4,30
1639084925,0,4
1639086125,1,0
1639086724,2,2
1639087325,0,2
1639088524,1,1
1639089125,5,0
1639090324,4,1
1639091524,0,1
1639092124,2,1
1639093325,2,2
1639093924,2,1
1639094524,1,0
1639095724,0,1
1639096925,1,0
1639098124,3,0
1639099324,1,0
1639099924,1,5
1639101124,6,3
1639101724,1,4
1639102924,0,1
1639104125,1,3
1639105324,4,1
1639106524,0,2
1639108324,4,2
1639108924,1,5
1639110124,3,0
1639111325,2,1
1639111924,0,1
1639113125,3,1
1639114325,1,4
1639115525,5,2
1639116724,0,5
1639117324,0,1
1639117924,0,7
1639119724,2,3
1639120324,0,10
1639121524,5,0
1639122124,0,3
1639122723,1,0
1639123324,0,1
1639123925,2,0
1639125125,1,0
1639126324,1,2
1639127524,0,1
1639128124,1,0
1639129924,1,0
1639130524,2,7
1639131725,1,24
1639132324,0,30
1639132924,2,0
1639134124,0,4
1639135324,3,0
1639135924,3,0
1639137124,1,0
1639138924,3,0
1639139524,1,0
1639141324,1,0
1639142524,0,8
1639143125,1,0
1639143724,4,0
1639144323,1,0
1639145525,0,3
1639146724,0,4
1639147924,0,1
1639148524,0,8
1639149724,0,3
1639151524,0,1
1639152124,10,1
1639152724,1,2
1639153324,1,0
1639156325,2,0
1639157524,0,1
1639158723,1,2
1639159324,4,1
1639159925,0,4
1639160524,2,0
1639162324,0,2
1639162924,1,0
1639164124,0,1
1639165924,0,1
1639166524,0,3
1639167724,2,0
1639168325,1,0
1639168925,1,2
1639169524,3,0
1639170725,4,4
1639171925,3,0
1639173124,2,0
1639175524,2,2
1639176724,1,2
1639177924,3,0
1639179125,3,3
1639179724,2,5
1639180324,1,0
1639181525,1,5
1639182724,1,1
1639183326,0,1
1639183924,7,0
1639184524,7,0
1639185125,2,0
1639186324,1,0
1639186925,0,3
1639188125,1,0
1639189924,3,0
1639193524,3,0
1639194124,0,4
1639194725,5,0
1639195324,0,2
1639198324,0,16
1639198924,0,2
1639200124,31,1
1639200725,1,5
1639201925,1,0
1639203125,1,4
1639204325,1,0
1639204925,1,2
1639205524,0,2
1639206124,0,8
1639207925,0,1
1639209124,0,3
1639210325,0,50
1639211525,0,19
1639212125,0,1
1639214524,1,0
1639216324,61,0
1639218125,1,1
1639219924,0,4
