DateTime,AddedIPs,RemovedIPs
1637507702,167,0
1637509503,78,0
1637513102,131,0
1637516702,156,0
1637519403,111,0
1637520302,38,0
1637523903,165,0
1637527503,138,0
1637531102,143,0
1637538302,327,0
1637541902,140,3602
1637547302,258,0
1637551802,197,0
1637553602,103,0
1637555402,99,0
1637559903,221,0
1637563503,223,0
1637567102,223,0
1637568002,42,0
1637571603,196,0
1637575202,238,0
1637580603,336,0
1637587802,432,0
1637588702,72,0
1637595902,495,0
1637599503,269,0
1637604003,294,0
1637607603,193,0
1637609402,99,0
1637616602,359,0
1637618402,75,0
1637620202,75,0
1637625603,217,3408
1637629203,201,0
1637632802,178,0
1637637302,218,0
1637640002,121,0
1637640902,48,0
1637648102,337,0
1637652602,254,0
1637656203,169,0
1637660702,249,0
1637662502,90,0
1637664302,104,0
1637668802,281,0
1637672402,256,0
1637676902,347,0
1637680502,269,0
1637683203,212,0
1637685002,74,0
1637686802,109,0
1637689502,132,0
1637691302,94,0
1637694902,172,0
1637698502,166,0
1637702102,140,0
1637706602,145,0
1637711102,183,0
1637716502,197,4627
1637723702,281,0
1637727302,173,0
1637728202,37,0
1637731802,169,0
1637735402,166,0
1637742602,345,0
1637745302,149,0
1637747102,85,0
1637753402,322,0
1637758802,345,0
1637764203,259,0
1637771403,372,0
1637775002,171,0
1637778602,160,0
1637784003,251,0
1637787602,154,0
1637791203,180,0
1637794802,119,0
1637798402,131,4689
1637805603,346,0
1637810102,209,0
1637812803,112,0
1637813703,41,0
1637820902,334,0
1637828102,450,0
1637835302,367,0
1637838902,182,0
1637841602,149,0
1637842502,57,0
1637846102,243,0
1637849702,209,0
1637855103,269,0
1637862302,450,0
1637865002,159,0
1637866802,78,0
1637870402,217,0
1637874002,189,0
1637881203,358,0
1637884802,134,4005
1637888402,212,0
1637892902,252,0
1637896502,192,0
1637901002,223,0
1637905502,257,0
1637908202,164,0
1637914503,338,0
1637917203,104,0
1637919002,109,0
1637923502,245,0
1637928903,289,0
1637929802,43,0
1637933402,194,0
1637934302,67,0
1637940602,357,0
1637942403,119,0
1637946002,214,0
1637952302,277,0
1637956802,234,0
1637957703,39,0
1637959502,97,0
1637965802,358,0
1637970302,174,0
1637972102,81,4383
1637973902,102,0
1637975702,96,1
1637979302,178,0
1637986502,356,0
1637987402,33,0
1637992802,232,0
1637995502,130,0
1637997302,98,0
1638000002,150,0
1638000902,40,0
1638004502,132,0
1638008102,202,0
1638009902,76,0
1638010803,35,0
1638014402,175,0
1638018002,158,0
1638019802,76,0
1638023403,214,0
1638027902,235,0
1638031502,151,0
1638035102,147,0
1638042302,342,0
1638046803,174,0
1638054003,299,0
1638056702,121,0
1638058502,119,4675
1638064803,244,0
1638068402,126,0
1638072002,112,0
1638075603,133,0
1638077402,82,0
1638082802,209,0
1638085502,96,0
1638089102,166,0
1638092702,149,0
1638096302,154,0
1638099902,140,0
1638100802,43,0
1638103502,131,0
1638110703,260,0
1638112502,76,0
1638114302,68,0
1638117002,106,0
1638118803,61,0
1638121502,113,0
1638122403,36,0
1638126003,126,0
1638128702,114,0
1638130503,83,0
1638132302,64,0
1638134102,67,0
1638141302,278,0
1638144902,137,4518
1638147602,107,0
1638151203,148,0
1638152102,51,0
1638153902,83,0
1638155702,63,0
1638162002,344,0
1638169203,300,0
1638171902,140,0
1638179102,334,0
1638180003,50,0
1638184502,243,0
1638188102,190,0
1638192602,260,0
1638196202,186,0
1638199802,205,0
1638200702,50,0
1638201602,53,0
1638204302,168,0
1638207902,223,0
1638209702,90,0
1638215102,307,0
1638217803,181,0
1638218702,44,0
1638225902,370,0
1638226802,53,0
1638230403,141,3574
1638237603,378,0
1638241203,164,0
1638243902,121,0
1638247502,137,0
1638249302,85,0
1638255603,291,0
1638261002,284,0
1638268202,430,0
1638270902,216,0
1638271802,103,0
1638274502,207,0
1638279002,355,0
1638279902,59,0
1638281702,105,0
1638283503,112,0
1638285302,96,0
