DateTime,AddedIPs,RemovedIPs
1637382781,4,2
1637386381,5,4
1637389981,3,0
1637393581,3,4
1637397182,1,7
1637400782,1,1
1637404382,3,1
1637407982,1,1
1637411581,4,3
1637415183,3,2
1637418781,2,2
1637422381,4,1
1637425983,2,4
1637429581,1,4
1637433181,2,2
1637436782,2,0
1637440381,3,2
1637443984,1,1
1637447582,2,2
1637451182,2,1
1637454781,3,2
1637458383,2,3
1637461981,4,1
1637465583,1,4
1637469181,2,6
1637472783,2,4
1637476621,5,0
1637480507,7,6
1637484094,0,3
1637487704,3,2
1637491296,4,5
1637494900,3,2
1637498488,5,5
1637502095,0,2
1637505692,1,3
1637509289,3,2
1637512381,6,1
1637515982,5,0
1637519583,3,4
1637523182,3,3
1637530384,2,2
1637533981,1,4
1637537581,2,3
1637541182,2,0
1637544782,4,8
1637548383,3,0
1637551982,3,1
1637559182,1,4
1637562782,1,4
1637566383,5,5
1637569982,1,9
1637573581,7,3
1637577182,2,6
1637580784,1,4
1637584381,5,3
1637587982,0,4
1637591582,1,0
1637595181,2,2
1637598782,2,2
1637602382,2,6
1637605982,2,0
1637609581,1,7
1637613181,1,1
1637616782,2,1
1637620381,4,0
1637623982,2,1
1637627582,2,6
1637631181,1,0
1637634782,2,3
1637638382,2,9
1637642222,1,1
1637645581,2,2
1637652781,2,2
1637656381,2,8
1637659981,2,0
1637663581,1,3
1637667181,1,1
1637671022,5,4
1637674382,2,1
1637677981,7,0
1637681582,3,1
1637685181,2,2
1637688781,3,2
1637692383,2,2
1637695982,3,5
1637699582,3,2
1637703183,5,0
1637706782,2,8
1637710381,4,0
1637713982,7,0
1637717581,4,1
1637721181,2,3
1637727090,2,0
1637730698,2,0
1637734625,3,3
1637737896,1,1
1637741500,2,2
1637745094,3,1
1637748692,1,2
1637752293,6,3
1637755898,1,2
1637759494,0,4
1637763094,4,1
1637766712,2,3
1637770299,2,2
1637773890,3,5
1637777493,7,3
1637781102,2,3
1637784708,2,2
1637788297,4,4
1637791900,3,4
1637795497,3,1
1637798222,4,2
1637801224,5,7
1637805094,2,3
1637808424,2,2
1637811707,2,0
1637815294,2,1
1637818895,1,3
1637822506,0,2
1637826099,3,1
1637829712,3,2
1637833294,0,2
1637836892,1,5
1637840506,4,5
1637844096,2,3
1637847698,4,1
1637851317,1,2
1637854892,3,3
1637858527,1,2
1637862096,3,1
1637865427,4,6
1637868783,4,3
1637872383,2,1
1637875981,5,0
1637879581,0,5
1637883423,3,2
1637887311,3,10
1637890911,5,3
1637894517,3,3
1637898093,4,4
1637901696,1,1
1637905299,0,4
1637908898,4,3
1637912493,3,0
1637915583,1,4
1637919423,4,1
1637922782,5,0
1637926382,3,2
1637929984,2,2
1637933582,2,2
1637937182,2,2
1637940782,2,0
1637944383,3,1
1637947982,1,1
1637951581,2,4
1637955181,0,6
1637958782,0,3
1637962383,2,0
1637965982,4,4
1637969581,3,1
1637973426,2,1
1637976784,1,5
1637980381,4,4
1637983981,6,1
1637987583,4,2
1637991181,4,2
1637994781,0,1
1637998382,2,2
1638001981,1,3
1638005823,2,6
1638009705,2,4
1638013296,5,2
1638016915,6,1
1638020545,1,1
1638024098,2,2
1638027701,3,3
1638031299,6,4
1638034896,5,3
1638038497,6,3
1638042121,0,2
1638045700,1,4
1638049342,4,0
1638052906,2,5
1638056498,4,6
1638060111,4,3
1638063181,5,3
1638066782,2,0
1638070384,1,4
1638073983,0,11
1638077581,3,0
1638081182,6,2
1638084783,1,3
1638088381,2,1
1638091981,2,0
1638095582,2,3
1638099182,5,2
1638102781,2,3
1638106382,2,4
1638109982,1,2
1638117182,2,1
1638120782,4,3
1638124384,3,5
1638127982,2,3
1638131581,2,1
1638135182,3,3
1638138781,5,1
1638142381,2,3
1638146511,3,2
1638150096,4,0
1638153691,1,3
1638157297,3,2
1638160896,4,1
1638164497,3,2
1638168094,1,4
1638172024,2,4
1638175306,2,1
1638178908,1,4
1638182497,3,3
1638186102,1,4
1638189693,2,1
1638193622,1,1
1638197223,0,2
1638200823,1,0
1638204424,2,3
1638208026,2,2
1638211624,1,3
1638214893,0,3
1638218499,3,2
1638222113,3,2
1638225693,2,5
1638229294,4,7
1638232891,3,3
1638236492,1,3
1638240095,2,5
1638243181,1,3
1638246781,3,0
1638250382,3,4
1638253981,1,3
1638257581,3,1
1638261181,3,3
1638264781,2,1
1638268381,2,2
1638271981,3,2
1638275581,4,2
1638279181,4,1
1638282781,2,2
1638286381,3,0
1638289981,2,5
1638293581,5,0
1638297424,5,3
1638300781,4,1
1638304382,3,1
1638307981,1,3
1638311581,5,1
1638315181,4,1
1638318782,2,4
1638322381,2,2
1638325981,1,2
1638329581,1,1
1638333182,3,4
1638336782,2,0
1638340384,4,2
1638343981,1,1
1638347581,1,2
1638351181,3,1
1638354783,0,2
1638358381,0,4
1638365581,2,3
1638369184,2,5
1638372784,2,4
1638376382,4,3
1638379981,2,0
1638383581,3,4
1638398828,2,16
1638402424,4,6
1638406299,5,3
1638409300,2,3
1638412911,3,3
1638416495,4,2
1638420103,6,2
1638423705,3,3
1638427296,1,4
1638430897,2,3
1638434498,3,3
1638438096,1,4
1638441695,2,3
1638445295,2,1
1638448896,1,2
1638452495,2,3
1638456101,3,2
1638459697,6,7
1638463294,0,4
1638466895,3,5
1638470494,1,7
1638474094,3,0
1638477425,5,0
1638481296,4,0
1638484894,4,0
1638488495,4,4
1638492092,2,4
1638495424,5,1
1638499024,1,5
1638502624,3,3
1638506496,2,2
1638510093,5,1
1638513695,2,0
1638516781,3,3
1638520381,3,0
1638523982,1,4
1638527582,5,1
1638531182,2,1
1638534783,2,0
1638541983,2,5
1638545824,2,1
1638549181,3,3
1638552781,4,2
1638556382,2,3
1638559981,2,3
1638563581,1,3
1638567181,7,3
1638570781,3,3
1638574381,3,3
1638577981,5,0
